Rango,Titulo,Año,Calificacion_IMDb,URL
1,"<selenium.webdriver.remote.webelement.WebElement (session=""db467c3ebf9bcead083959fdb0766a3d"", element=""f.D60EB50D249A8A9BEAF2B10599F5582D.d.2B78EBC1C345820865C67A22936C5BC4.e.292"")>",1994,"9,3",https://www.imdb.com/es-es/title/tt0111161/?ref_=chttp_t_1
2,"<selenium.webdriver.remote.webelement.WebElement (session=""db467c3ebf9bcead083959fdb0766a3d"", element=""f.D60EB50D249A8A9BEAF2B10599F5582D.d.2B78EBC1C345820865C67A22936C5BC4.e.296"")>",1972,"9,2",https://www.imdb.com/es-es/title/tt0068646/?ref_=chttp_t_2
3,"<selenium.webdriver.remote.webelement.WebElement (session=""db467c3ebf9bcead083959fdb0766a3d"", element=""f.D60EB50D249A8A9BEAF2B10599F5582D.d.2B78EBC1C345820865C67A22936C5BC4.e.300"")>",2008,"9,1",https://www.imdb.com/es-es/title/tt0468569/?ref_=chttp_t_3
4,"<selenium.webdriver.remote.webelement.WebElement (session=""db467c3ebf9bcead083959fdb0766a3d"", element=""f.D60EB50D249A8A9BEAF2B10599F5582D.d.2B78EBC1C345820865C67A22936C5BC4.e.304"")>",1974,"9,0",https://www.imdb.com/es-es/title/tt0071562/?ref_=chttp_t_4
5,"<selenium.webdriver.remote.webelement.WebElement (session=""db467c3ebf9bcead083959fdb0766a3d"", element=""f.D60EB50D249A8A9BEAF2B10599F5582D.d.2B78EBC1C345820865C67A22936C5BC4.e.308"")>",1957,"9,0",https://www.imdb.com/es-es/title/tt0050083/?ref_=chttp_t_5
6,"<selenium.webdriver.remote.webelement.WebElement (session=""db467c3ebf9bcead083959fdb0766a3d"", element=""f.D60EB50D249A8A9BEAF2B10599F5582D.d.2B78EBC1C345820865C67A22936C5BC4.e.312"")>",2003,"9,0",https://www.imdb.com/es-es/title/tt0167260/?ref_=chttp_t_6
7,"<selenium.webdriver.remote.webelement.WebElement (session=""db467c3ebf9bcead083959fdb0766a3d"", element=""f.D60EB50D249A8A9BEAF2B10599F5582D.d.2B78EBC1C345820865C67A22936C5BC4.e.316"")>",1993,"9,0",https://www.imdb.com/es-es/title/tt0108052/?ref_=chttp_t_7
8,"<selenium.webdriver.remote.webelement.WebElement (session=""db467c3ebf9bcead083959fdb0766a3d"", element=""f.D60EB50D249A8A9BEAF2B10599F5582D.d.2B78EBC1C345820865C67A22936C5BC4.e.320"")>",1994,"8,8",https://www.imdb.com/es-es/title/tt0110912/?ref_=chttp_t_8
9,"<selenium.webdriver.remote.webelement.WebElement (session=""db467c3ebf9bcead083959fdb0766a3d"", element=""f.D60EB50D249A8A9BEAF2B10599F5582D.d.2B78EBC1C345820865C67A22936C5BC4.e.324"")>",2001,"8,9",https://www.imdb.com/es-es/title/tt0120737/?ref_=chttp_t_9
10,"<selenium.webdriver.remote.webelement.WebElement (session=""db467c3ebf9bcead083959fdb0766a3d"", element=""f.D60EB50D249A8A9BEAF2B10599F5582D.d.2B78EBC1C345820865C67A22936C5BC4.e.328"")>",1966,"8,8",https://www.imdb.com/es-es/title/tt0060196/?ref_=chttp_t_10
11,"<selenium.webdriver.remote.webelement.WebElement (session=""db467c3ebf9bcead083959fdb0766a3d"", element=""f.D60EB50D249A8A9BEAF2B10599F5582D.d.2B78EBC1C345820865C67A22936C5BC4.e.332"")>",1994,"8,8",https://www.imdb.com/es-es/title/tt0109830/?ref_=chttp_t_11
12,"<selenium.webdriver.remote.webelement.WebElement (session=""db467c3ebf9bcead083959fdb0766a3d"", element=""f.D60EB50D249A8A9BEAF2B10599F5582D.d.2B78EBC1C345820865C67A22936C5BC4.e.336"")>",2002,"8,8",https://www.imdb.com/es-es/title/tt0167261/?ref_=chttp_t_12
13,"<selenium.webdriver.remote.webelement.WebElement (session=""db467c3ebf9bcead083959fdb0766a3d"", element=""f.D60EB50D249A8A9BEAF2B10599F5582D.d.2B78EBC1C345820865C67A22936C5BC4.e.340"")>",1999,"8,8",https://www.imdb.com/es-es/title/tt0137523/?ref_=chttp_t_13
14,"<selenium.webdriver.remote.webelement.WebElement (session=""db467c3ebf9bcead083959fdb0766a3d"", element=""f.D60EB50D249A8A9BEAF2B10599F5582D.d.2B78EBC1C345820865C67A22936C5BC4.e.344"")>",2010,"8,8",https://www.imdb.com/es-es/title/tt1375666/?ref_=chttp_t_14
15,"<selenium.webdriver.remote.webelement.WebElement (session=""db467c3ebf9bcead083959fdb0766a3d"", element=""f.D60EB50D249A8A9BEAF2B10599F5582D.d.2B78EBC1C345820865C67A22936C5BC4.e.348"")>",1980,"8,7",https://www.imdb.com/es-es/title/tt0080684/?ref_=chttp_t_15
16,"<selenium.webdriver.remote.webelement.WebElement (session=""db467c3ebf9bcead083959fdb0766a3d"", element=""f.D60EB50D249A8A9BEAF2B10599F5582D.d.2B78EBC1C345820865C67A22936C5BC4.e.352"")>",1999,"8,7",https://www.imdb.com/es-es/title/tt0133093/?ref_=chttp_t_16
17,"<selenium.webdriver.remote.webelement.WebElement (session=""db467c3ebf9bcead083959fdb0766a3d"", element=""f.D60EB50D249A8A9BEAF2B10599F5582D.d.2B78EBC1C345820865C67A22936C5BC4.e.356"")>",1990,"8,7",https://www.imdb.com/es-es/title/tt0099685/?ref_=chttp_t_17
18,"<selenium.webdriver.remote.webelement.WebElement (session=""db467c3ebf9bcead083959fdb0766a3d"", element=""f.D60EB50D249A8A9BEAF2B10599F5582D.d.2B78EBC1C345820865C67A22936C5BC4.e.360"")>",2014,"8,7",https://www.imdb.com/es-es/title/tt0816692/?ref_=chttp_t_18
19,"<selenium.webdriver.remote.webelement.WebElement (session=""db467c3ebf9bcead083959fdb0766a3d"", element=""f.D60EB50D249A8A9BEAF2B10599F5582D.d.2B78EBC1C345820865C67A22936C5BC4.e.364"")>",1975,"8,7",https://www.imdb.com/es-es/title/tt0073486/?ref_=chttp_t_19
20,"<selenium.webdriver.remote.webelement.WebElement (session=""db467c3ebf9bcead083959fdb0766a3d"", element=""f.D60EB50D249A8A9BEAF2B10599F5582D.d.2B78EBC1C345820865C67A22936C5BC4.e.368"")>",1995,"8,6",https://www.imdb.com/es-es/title/tt0114369/?ref_=chttp_t_20
21,"<selenium.webdriver.remote.webelement.WebElement (session=""db467c3ebf9bcead083959fdb0766a3d"", element=""f.D60EB50D249A8A9BEAF2B10599F5582D.d.2B78EBC1C345820865C67A22936C5BC4.e.372"")>",1946,"8,6",https://www.imdb.com/es-es/title/tt0038650/?ref_=chttp_t_21
22,"<selenium.webdriver.remote.webelement.WebElement (session=""db467c3ebf9bcead083959fdb0766a3d"", element=""f.D60EB50D249A8A9BEAF2B10599F5582D.d.2B78EBC1C345820865C67A22936C5BC4.e.376"")>",1991,"8,6",https://www.imdb.com/es-es/title/tt0102926/?ref_=chttp_t_22
23,"<selenium.webdriver.remote.webelement.WebElement (session=""db467c3ebf9bcead083959fdb0766a3d"", element=""f.D60EB50D249A8A9BEAF2B10599F5582D.d.2B78EBC1C345820865C67A22936C5BC4.e.380"")>",1954,"8,6",https://www.imdb.com/es-es/title/tt0047478/?ref_=chttp_t_23
24,"<selenium.webdriver.remote.webelement.WebElement (session=""db467c3ebf9bcead083959fdb0766a3d"", element=""f.D60EB50D249A8A9BEAF2B10599F5582D.d.2B78EBC1C345820865C67A22936C5BC4.e.384"")>",1998,"8,6",https://www.imdb.com/es-es/title/tt0120815/?ref_=chttp_t_24
25,"<selenium.webdriver.remote.webelement.WebElement (session=""db467c3ebf9bcead083959fdb0766a3d"", element=""f.D60EB50D249A8A9BEAF2B10599F5582D.d.2B78EBC1C345820865C67A22936C5BC4.e.388"")>",1999,"8,6",https://www.imdb.com/es-es/title/tt0120689/?ref_=chttp_t_25
26,"<selenium.webdriver.remote.webelement.WebElement (session=""db467c3ebf9bcead083959fdb0766a3d"", element=""f.D60EB50D249A8A9BEAF2B10599F5582D.d.2B78EBC1C345820865C67A22936C5BC4.e.392"")>",2002,"8,6",https://www.imdb.com/es-es/title/tt0317248/?ref_=chttp_t_26
27,"<selenium.webdriver.remote.webelement.WebElement (session=""db467c3ebf9bcead083959fdb0766a3d"", element=""f.D60EB50D249A8A9BEAF2B10599F5582D.d.2B78EBC1C345820865C67A22936C5BC4.e.396"")>",1997,"8,6",https://www.imdb.com/es-es/title/tt0118799/?ref_=chttp_t_27
