id_eess,codigo_renaes,categoria,nombre,diresa,red,direccion,longitud,latitud,id_ubigeo
5845,1,II-2,"HOSPITAL IQUITOS ""CESAR GARAYAR GARCIA""",LORETO,NO PERTENECE A NINGUNA RED,CALLE CORNEJO PORTUGAL 1710 IQUITOS MAYNAS LORETO,-73.253653,-3.762818,1453
15599,2,SD,CENTRO REHABILITACION ENFERMO MENTAL,LORETO,NO PERTENECE A NINGUNA RED,CALLE 3 DE MAYO S/N CPM QUILCATACTA,-73.32325,-3.73189,1463
18282,3,III-1,"HOSPITAL REGIONAL DE LORETO ""FELIPE SANTIAGO ARRIOLA IGLESIAS""",LORETO,NO PERTENECE A NINGUNA RED,AVENIDA AVENIDA 28 DE JULIO S/N S/N AVENIDA 28 DE JULIO S/N PUNCHANA MAYNAS LORETO,-73.25341698,-3.72696048,1460
18156,4,I-3,C.S. I-3 SANTA MARIA DE NANAY,LORETO,MAYNAS CIUDAD,OTROS CASERIO DE SANTA MARIA DE NANAY CASERIO DE SANTA MARIA DE NANAY ALTO NANAY MAYNAS LORETO,-73.69678536,-3.88899772,1454
858,5,I-1,SAMITO,LORETO,MAYNAS CIUDAD,OTROS CASERIO DE SAMITO SIN NUMERO DISTRITO ALTO NANAY PROVINCIA MAYNAS DEPARTAMENTO LORETO,-73.61092844,-3.86516692,1454
14398,6,I-1,DIAMANTE AZUL,LORETO,MAYNAS CIUDAD,OTROS CASERIO DE DIAMANTE AZUL DISTRITO ALTO NANAY PROVINCIA MAYNAS DEPARTAMENTO LORETO,-73.77967025,-3.9013143,1454
17988,7,I-4,"I-4 CENTRO DE SALUD MORONA COCHA ""JORGE AREVALO MELHO""",LORETO,MAYNAS CIUDAD,OTROS CABALLERO LASTRE SIN NUMERO CABALLERO LASTRE SIN NUMERO IQUITOS MAYNAS LORETO,-73.35446,-3.75344,1453
6853,8,I-3,"TUPAC AMARU DE IQUITOS ""LIC. ENF. JENNY ESTHER CARRASCO MONTAÑEZ""",LORETO,MAYNAS CIUDAD,OTROS SEÑOR DE SIPAN Nº317 SEÑOR DE SIPAN Nº317 IQUITOS MAYNAS LORETO,-73.3622,-3.77097,1453
25069,9,I-3,SAN ANTONIO DE IQUITOS,LORETO,MAYNAS CIUDAD,OTROS ACTUALIZAR ACTUALIZAR IQUITOS MAYNAS LORETO,-73.37176,-3.77439,1453
11017,10,I-2,1RO. DE ENERO,LORETO,MAYNAS CIUDAD,PROLONGACIÓN PROLONGACION PUTUMAYO S/N S/N PROLONGACION PUTUMAYO S/N IQUITOS MAYNAS LORETO,-73.35469,-3.78054,1453
8881,11,I-1,VARGAS GUERRA,LORETO,MAYNAS CIUDAD,OTROS CASERIO VARGAS GUERRA CASERIO VARGAS GUERRA IQUITOS MAYNAS LORETO,-73.3462,-3.78329,1453
1250,12,I-1,MANACAMIRI,LORETO,MAYNAS CIUDAD,CASERIO MANACAMIRI - RIO NANAY,-73.28273,-3.71951,1453
21191,13,I-2,P.S I-2 MAYNAS,LORETO,MAYNAS CIUDAD,OTROS SAN ANTONIO S/N S/N SAN ANTONIO S/N IQUITOS MAYNAS LORETO,-73.40499,-3.80507,1453
23968,14,I-2,FERNANDO LORES,LORETO,MAYNAS CIUDAD,PROLONGACIÓN PROLONGACION PUTUMAYO PROLONGACION PUTUMAYO IQUITOS MAYNAS LORETO,-73.46231,-3.83055,1453
12267,15,I-2,P.S. I-1 PORVENIR DE IQUITOS,LORETO,MAYNAS CIUDAD,OTROS AA.HH. PORVENIR SIN NUMERO AA.HH. PORVENIR SIN NUMERO IQUITOS MAYNAS LORETO,-73.51423,-3.83116,1453
12717,16,I-4,BELLAVISTA NANAY,LORETO,MAYNAS CIUDAD,AVENIDA AV. LA MARINA Nº2880 AV. LA MARINA Nº2880 PUNCHANA MAYNAS LORETO,-73.3468,-3.4753,1460
