Título del empleo,Descripcion,Distrito,Modalidad
Desarrollador Senior Java,,"Lima, Lima, Peru",Híbrido
Software Architect,,"San Isidro, Lima, Peru",Híbrido
Analista Programador Power Builder Junior,,"Lima, Lima, Peru",Remoto
DESARROLLADOR FRONT IOS,,"Comas, Lima, Peru",Híbrido
Analista Programador de Tecnologías de la información,,"El Agustino, Lima, Peru",Presencial
Frontend Developer React,,"Pueblo Libre, Lima, Peru",Híbrido
Analista Programador de Sistemas - Híbrido,,"Santa Anita, Lima, Peru",Híbrido
Data Scientist Associate | Desarrollo de Modelos Riesgos,,"San Isidro, Lima, Peru",Híbrido
Frontend Developer React,,"La Victoria, Lima, Peru",Presencial
Backend Developer NodeJs,,"La Victoria, Lima, Peru",Presencial
ANALISTA PROGRAMADOR DE SISTEMAS,,"San Juan de Miraflores, Lima, Peru",Presencial
Jefe de sistemas (TI),,"Miraflores, Lima, Peru",Híbrido
Programador Frontend Junior / Presencial,,"La Victoria, Lima, Peru",Presencial
Analista Programador,,"San Isidro, Lima, Peru",Híbrido
FullStack Developer - Por proyecto,,"Cercado De Lima, Lima, Peru",Presencial
Desarrollador Java/Oracle weblogic,,"San Isidro, Lima, Peru",Híbrido
Analista Programador en Odoo (Python),,"Lima, Lima, Peru",Presencial
Analista Programador - NodeJs/Web HTML,,"Lima, Lima, Peru",Presencial
Desarrollador en Innovación y Automatización,,"Lima, Lima, Peru",Híbrido
Desarrollador DevOps - Híbrido,,"Lima, Lima, Peru",Híbrido
Analista Programador FRONT-END - PRESENCIAL,,"Lima, Lima, Peru",Presencial
ANALISTA PROGRAMADOR,,"Lima, Lima, Peru",Remoto
Programador Jr,,"Lima, Lima, Peru",Híbrido
Analista Programador - Apache Nifi,,"San Isidro, Lima, Peru",Híbrido
Desarrollador DevOps - Híbrido,,"Lima, Lima, Peru",Híbrido
Desarrollador Full Stack,,"San Isidro, Lima, Peru",Presencial
Programador Java,,"San Isidro, Lima, Peru",Híbrido
Especialista en Gestion de Inventario,,"Lima, Lima, Peru",Presencial
Analista programador .Net,,"Callao, Lima, Peru",Remoto
Analista Programador Net,,"San Juan De Lurigancho., Lima, Peru",Presencial
Programador Cobol Senior,,"Lima, Lima, Peru",Híbrido
Programador Web Front-End,,"San Isidro, Lima, Peru",Presencial
Desarrollador Full Stack Java / Angular.JS Senior,,"San Isidro, Lima, Peru",Remoto
Desarrollador Backend AWS,,"Lima, Lima, Peru",Híbrido
Desarrollador Mobile,,"Cercado De Lima, Lima, Peru",Híbrido
Analista programador,,"Jesús María, Lima, Peru",Presencial
Junior Fullstack developer,,"Lima, Peru",Remoto
Consultor SAP,,"San Isidro, Lima, Peru",Remoto
Desarrollador DevOps,,"Lima, Lima, Peru",Híbrido
Desarrollador FullStack - Semi,,"Lima, Lima, Peru",Híbrido
Desarrollador FullStack - Semi,,"Lima, Lima, Peru",Híbrido
Analista programador Java,,"Lima, Lima, Peru",Híbrido
Desarrollador Fullstack (.NET/Angular) - Proyecto temporal,,"Lima, Lima, Peru",Remoto
PROGRAMADOR RPA,,"Lima, Lima, Peru",Híbrido
FullStack Senior,,"Miraflores, Lima, Peru",Híbrido
Analista Programador .NET,,"Cercado De Lima, Lima, Peru",Remoto
ANALISTA PROGRAMADOR,,"San Isidro, Lima, Peru",Presencial
Analista Programador,,"Surco, Lima, Peru",Presencial
Desarrollador .Net - Proyecto e-learning / Evaluaciones Psicológicas,,"Santiago de Surco, Lima, Peru",Presencial
Desarrollador Fullstack,,"Lima, Lima, Peru",Remoto
Desarrollador Fullstack Senior Azure,,"Miraflores, Lima, Peru",Híbrido
Desarrollador Fullstack Java Ssr,,"Lima, Lima, Peru",Presencial
Analista de Software de Integración y Soluciones Digitales,,"Miraflores, Lima, Peru",Híbrido
Desarrollador Frontend,,"Cercado De Lima, Lima, Peru",Híbrido
Desarrollador Mobile Sr,,"Miraflores, Lima, Peru",Remoto
ANALISTA TECNICO Java y Angular PRESENCIAL,,"Lima, Lima, Peru",Presencial
Desarrollador FullStack,,"Cercado De Lima, Lima, Peru",Híbrido
PROGRAMADOR JUNIOR Java y Angular PRESENCIAL,,"Lima, Lima, Peru",Presencial
Desarrollador Genexus,,"Cercado De Lima, Lima, Peru",Híbrido
Analista Programador (.NET),,"San Isidro, Lima, Peru",Remoto
Desarrollador Fullstack Net/Angular,,"Santiago de Surco, Lima, Peru",Híbrido
Developer Java Sr.,,"San Isidro, Lima, Peru",Híbrido
Desarrollador FullStack Java / React,,"Lima, Lima, Peru",Remoto
ANALISTA PROGRAMADOR SENIOR,,"Lima, Lima, Peru",Presencial
Desarrollador Backend PHP,,"Lima, Lima, Peru",Presencial
Desarrollador Java,,"Surco, Lima, Peru",Híbrido
Analista Programador PHP,,"Lima, Lima, Peru",Presencial
Analista Programador .Net,,"Chorrillos, Lima, Peru",Híbrido
Especialista en Gestion de Inventario de Software,,"Lima, Lima, Peru",Presencial
Desarrollador Backend Java Senior,,"Surquillo, Lima, Peru",Híbrido
Web Master - Programador Web,,"San Borja, Lima, Peru",Presencial
Senior Go React Developer,,"Lima, Lima, Peru",Híbrido
Desarrollador .NET,,"Lima, Lima, Peru",Híbrido
Desarrollador FullStack (React),,"Lima, Lima, Peru",Híbrido
Analista Programador,,"San Borja, Lima, Peru",Presencial
Programador Front End (Mobile y Web),,"San Isidro, Lima, Peru",Presencial
ANALISTA TECNICO - Lider .NET,,"Lima, Lima, Peru",Híbrido
Soporte de Aplicaciones (Linux/PLSQL),,"La Victoria, Lima, Peru",Presencial
Analista programador (Java / Angular),,"San Isidro, Lima, Peru",Híbrido
Analista Backend Java Junior,,"Jesús María, Lima, Peru",Híbrido
Desarrollador Senior Angular,,"San Isidro, Lima, Peru",Híbrido
Desarrollador Frontend Junior,,"Lima, Lima, Peru",Presencial
Desarrollador Backend Junior,,"Lima, Lima, Peru",Presencial
Desarrollador Fullstack,,"Lima, Lima, Peru",Remoto
"Desarrollador (SQL, .NET, FoxPro, Power BI)",,"Lima, Lima, Peru",Remoto
Desarrollador Fullstack Vtex.,,"Miraflores, Lima, Peru",Híbrido
"DESARROLLADOR/PROGRAMADOR Jr/Exp .Net, Jquery",,"Santiago de Surco, Lima, Peru",Presencial
Desarrollador Backend Senior,,"Lima, Lima, Peru",Híbrido
Desarrollador Java / Junior,,"Chorrillos, Lima, Peru",Híbrido
"Documentador / Ingeniería de Sistemas, Software, Computación, Telecomunicaciones y Electrónica.",,"Cercado De Lima, Lima, Peru",Presencial
Analista Programador .Net,,"Chorrillos, Lima, Peru",Híbrido
Desarrollador .NET (Net Core) - Remoto,,"Miraflores, Lima, Peru",Remoto
Analista programador .Net - Híbrido,,"Lima, Lima, Peru",Híbrido
Front-end JR,,"Lima, Lima, Peru",Remoto
Backend Developer Java/Azure Semi Senior,,"Lima, Lima, Peru",Híbrido
Desarrollador Mobile React Native,,"San Isidro, Lima, Peru",Híbrido
Analista Desarrollador C++ / Python / Rasberry Pi,,"San Isidro, Lima, Peru",Presencial
Desarrollador Backend .Net,,"Santiago de Surco, Lima, Peru",Híbrido
Desarrollador Junior Fullstack,,"San Isidro, Lima, Peru",Presencial
