Job_title,Description,Distric,Modalidad
Desarrollador Senior Java,"En NTT DATA estamos buscando profesionales con experiencia como BACKEND JAVA - MICROSERVICIOS, apasionados por las tecnologías para formar parte de nuestro staff, participar en proyectos grandes y asumir nuevos retos. Nuestro talento nos ha hecho poder decir con orgullo que somos una de las 6 empresas TOP de tecnologías del mundo. Para incorporarte a nuestro equipo tendrás que contar con los siguientes requisitos: Si te encuentras interesado y cumples con los requisitos, hazme llegar tu CV Actualizado, Disponibilidad y Pretensiones a: mguardia(arroba)emeal.nttdata.com “NTTDATA mantiene una política de contratación inclusiva, por lo que invita a cualquier persona a participar en el proceso de selección de la referencia",Lima,Híbrido
Software Architect,"Por encargo de nuestro cliente INTERSEGURO, empresa certificada como Great Place to Work y parte del Grupo INTERCORP, nos encontramos en la búsqueda de un(a) Software Architect. 🚀Lo que buscamos: Node.js (2-3 años de experiencia): Habilidades sólidas en desarrollo backend. Cloud (GCP, AWS o Azure) (1 año): Tu experiencia en la nube puede marcar la diferencia. Contenedores (Docker) (1 año): Habilidades esenciales para la infraestructura moderna. Bases de Datos SQL/MongoDB (3 años): Expertise en bases de datos relacionales y no relacionales. Principios SOLID / Clean Code (1 año): Si sigues buenas prácticas y te apasiona escribir código limpio, te queremos en el equipo. Microservicios - Event Driven (Deseable): Si tienes experiencia con arquitecturas de microservicios, ¡será un plus! Frontend React (Deseable): Si sabes algo de React, ¡mejor aún! 💻 Lo que harás: Desarrollarás soluciones innovadoras de backend usando Node.js. Trabajarás con las últimas tecnologías en cloud computing y contenedores. Colaborarás en un entorno ágil y dinámico, donde tu experiencia será clave para el crecimiento de la infraestructura y arquitectura. 🧑‍💻 Lo que ofrecemos: Planilla directa del cliente.(Contrato Indeterminado). EPS cubierto al 100% Modalidad Híbrida. Oportunidad de trabajar en proyectos desafiantes y de alto impacto. Un entorno colaborativo donde tu voz será escuchada. ¡Posibilidad de crecer con nosotros mientras seguimos innovando!",San Isidro,Híbrido
Analista Programador Power Builder Junior,"Importante empresa del sector, se encuentra en la búsqueda de un Analista Junior, Programador Power Builder que cumple con el siguiente perfil: Requisitos: Egresado técnico o Universitartio de Ing. Sistemas. Contar con 1 año de exp. minima en el cargo. Experiencia con Microsoft Visual SourceSafe Explorer. Manejo de herramientas como Oracle , base de datos, elaborar scripts y procedimientos. Experiencia en Programación PowerBuilder 1 1, 1 2, o posterior. Experiencia con Html, asp, javascript, jquery Java (Deseable). Funciones: Analizar, diseñar, desarrollar e implementar nuevas soluciones o proyectos informáticos mediante el uso de las tecnologías de información, dar mantenimiento y soporte a los sistemas del cliente servidor. Mantener la disponibilidad de los sistemas educativos y administrativos de la organización de manera proactiva. Administrar el óptimo funcionamiento de los sistemas y encontrar oportunidades de mejora. Beneficios: Trabajo remoto. Sueldo mensual acorde al mercado. Convenios con instituciones educativas. .Planilla completa",Lima,Remoto
DESARROLLADOR FRONT IOS,"Summit Consulting es una empresa líder en soluciones tecnológicas, comprometida con el desarrollo de proyectos innovadores y la mejora constante de nuestros servicios. Actualmente, estamos en búsqueda de un Desarrollador Front-end Android altamente motivado y con experiencia para unirse a nuestro equipo dinámico. Requisitos: Mínimo 3 años desarrollando aplicaciones nativas para iOS preferiblemente para el sector financiero. Experiencia en desarrollo de interfaces (UI/UX) optimizadas, intuitivas y accesibles. Conocimiento comprobado y sólido en frameworks para iOS y Android, manejo de APIs RESTful. Experiencia trabajando bajo metodologías ágiles (Scrum) y cascada. Familiarizado con herramientas de integración continua (CI/CD). Conocimientos comprobados en SWIFT Formación Académica: Técnico en las Carreras: Ingeniería de Sistemas, Ingeniería Informática, Ingeniería de Software o afines. Bachiller y afines Titulación y afines Especialización: Desarrollar Nativo ¡OS - Avanzado Diseño y Experiencia de Usuario (UI/UX) - Intermedio Metodologías Ágiles / Cascada - Intermedia Otros conocimientos: Ofimática (Word, Excel, PowerPoint) – Intermedio Ingles a nivel intermedio (deseable) – Intermedio Manejo de Jira – Intermedio Competencias Pensamiento Crítico Resolución de Problemas Comunicación Asertiva Trabajo en equipo Flexibilidad al cambio Empatía Negociación Toma de Decisiones Liderazgo Orientación a Resultados Objetivo del Puesto: Desarrollar interfaces atractivas, seguras y altamente funcionales en aplicaciones nativas para iOS, asegurando experiencias óptimas para el usuario y alineadas a los objetivos bajo metodologías ágiles y/o cascada. Funciones del Puesto: Disponibilidad para laborar de lunes a viernes de 8:00 am - 6:45 pm Desarrollar aplicaciones móviles nativas para iOS utilizando frameworks actuales. Implementar interfaces de usuario optimizadas basadas en diseños y principios UI/UX, asegurando accesibilidad y rendimiento. Integrar servicios y APIs RESTful, manejando respuestas JSON y consumo eficiente de recursos. Aplicar y promover buenas prácticas técnicas: Clean Architecture, patrones de diseño, modularización y Testing Automatizado (unitario y UI). Participar activamente en revisiones de código, manteniendo estándares de calidad y seguridad. Coordinar estrechamente con los equipos de diseño UX/UI, backend y QA para asegurar una integración efectiva. Documentar adecuadamente código y arquitectura técnica. Proponer mejoras técnicas y funcionales que impulsen la innovación continua y la calidad del producto. Si cuentas con las habilidades y experiencia necesarias para esta posición, no dudes en postular. Estamos ansiosos por recibir tu aplicación y conocer más acerca de ti. 🔔 ¡Únete a nuestro equipo y sé parte del éxito de Summit SAC! (NOTA: Solo se va considerar los postulantes que cumplan específicamente con el perfil)",Comas,Híbrido
Analista Programador de Tecnologías de la información,Requisitos: Profesionales en Ingenieria de Sistemas o carreras a fines Manejo de Office a nivel avanzado 3 años de experiencia laboral como mínimo en el desarrollo de aplicaciones Web sobre Plataforma en .Net y base de datos.- Experiencia en Desarrollo e implementación sistemas. Experiencia en desarrollo de proyectos particulares Habilidades duras: *SQL server experto *JavaScript (Jquery y Json) experto *Aplicaciones web responsive experto *Visual sstudio 2019 C# experto *Visual studio 2010 C# intermedio *Python intermedio (u otras herramientas de IA) *Team Foundation *Azure Devops Habilidades blandas: *Capacidad de análisis *Lógica *Comunicación *Proactividad Funciones: Desarrollo de softwares según la necesidad de la empresa. Documentar todos los softwares desarrollados. Impulsar y promover el uso de herramientas de inteligencia artificial en los proyectos. Detección de oportunidades y proponer mejoras según análisis Optimizar constantemente todas las capas del software desde la base de datos hasta el front - end. Cumplir y hacer cumplir los procedimientos de la empresa. Participar en reuniones con los diversos equipos involucrados para definir la solución de las iniciativas. Cumplir con los tiempos asignados en los desarrollos de requerimientos de usuario y reportar avances de las actividades realizadas. Velar por el correcto funcionamiento de los softwares desarrollados permanentemente..,El Agustino,Presencial
Frontend Developer React,"ZUTUN. es una empresa de software boutique con amplia experiencia en banca, seguros, fintech y retail. Nuestro colectivo funciona como un verdadero equipo, valorando la colaboración, la sinergia y el apoyo mutuo entre nuestros miembros, reconociendo que el talento es el núcleo y el equipo es quien juega el partido. Te invitamos a participar de proceso FRONTEND DEVELOPER REACT y ser parte de esta experiencia: REQUISITOS: Experiencia mínima de 2 años con React JS en aplicaciones SSG (Static Site Generation). Experiencia mínima de 2 años de experiencia Typescript. Experiencia de 1 año con aplicaciones web SSR (Server Side Rendering) o híbridas desarrolladas con Node. CSS avanzado: Animaciones, variables, preprocesadores (SASS/SCSS). Frameworks de CSS: Tailwind CSS, Materialize. Conocimiento de patrones de diseño aplicado al frontend. Manejo de Git (GitHub o GitLab) Pruebas unitarias. Aplicación de semanticismo y accesibilidad en la web. Ideal conocimiento de: Core Web Vitals, SEO, Analítica digital (Ej. Google Analytics), AWS, IaC, Plataformas, ARC XP (CMS) y/o PIANO. ¿QUE OFRECEMOS? Oportunidades de aprendizaje, donde tú eres responsable de tu desarrollo. Trabajo en base al sentido común, metas, flexibilidad de horarios y de manera hibrida. Una organización totalmente horizontal, donde se escuchan tus ideas y opiniones, sin jerarquías ni egos, basado en nuestra cultura C+ Consideraciones: Recibo por honorarios, tiempo de contratación: 3 meses renovables.",Pueblo Libre,Híbrido
Analista Programador de Sistemas - Híbrido,"Tecsup, instituto líder en educación tecnológica con 40 años en el mercado formando profesionales innovadores y éticos. Reconocido como una de las mejores instituciones educativas para trabajar. ¡Postula y únete a nuestra COMUNIDAD DE INNOVADORES! En esta oportunidad se busca un Analista Programador de Sistemas con las siguientes características: Perfil Profesional: Profesional de la carrera de Desarrollo de Software o similares. Experiencia mínima de 5 años como programador de sistemas, Desarrollador Full Stack de sistemas o similares. Conocimiento en Lenguaje de Programación JAVA, JavaScript, JSON, Angular. Conocimiento de estandares de diseño web. Conocimiento de PL/SQL. Conocimiento en metodologías ágiles. Funciones: Atender los requerimientos de los usuarios para mejora o nuevas funcionalidades de los sistemas de información. Analizar los requerimientos del usuario, con la finalidad de entender las necesidades correspondientes. Plantear mejoras a las aplicaciones existentes con la finalidad de agilizar el trabajo del usuarioRealizar el control de calidad de las aplicaciones para un correcto funcionamiento del mismo. Realizar el mantenimiento de aplicaciones por nuevas funcionalidades solicitadas por el usuario. Investigar y proponer nuevas herramientas de TI en el mercado en lugar de desarrollarlas. Asesorar a otras áreas en los proyectos relacionados a TI. Capacitar al usuario en el uso de la aplicación a fin de mantener permanentemente actualizado frente a los cambios tecnológicos. Elaborar y actualizar los manuales de usuario para el uso de los colaboradoresMonitorear el avance de las actividades asignadas a los programadores web. Elaborar y actualizar la documentación de los sistemas informaticos existentes. Desarrollar nuevas aplicaciones para atender las necesidades de los usuarios. Importante considerar: Modalidad de trabajo: Hibrido Horario de trabajo: Lunes a Viernes de 8:00 am a 6:00pm Lugar de Trabajo: Santa Anita ""En Tecsup nos comprometemos con la igualdad de oportunidades. Todas las personas serán consideradas en el proceso de postulación"".",Santa Anita,Híbrido
Programador Frontend Junior / Presencial,"En Experis Perú buscamos al mejor talento para sumarse a los desafíos de la era digital y llevar su carrera a un siguiente nivel. Por ello, te invitamos a que formes parte del reto como Programador Frontend Junior para el sector tecnología: Requisitos: 2 años de experiencia trabajando con React JS en aplicaciones SSG (Static Site Generation) 1 año de Experiencia con aplicaciones web SSR (Server Side Rendering) o híbridas desarrolladas con Node. 2 años de experiencia trabajando con Typescript. Manejo avanzado de CSS: Animaciones, variables, preprocesadores (SASS/SCSS). Uso de frameworks de CSS: Tailwind CSS, Materialize. Conocimiento de patrones de diseño aplicado en el frontend. Manejo de control de versiones con Git en GitHub o GitLab. Pruebas unitarias. Funciones: Desarrollo frontend: Implementación de interfaces, optimización de rendimiento, integración de APIs Testing y documentación Colaboración y reuniones técnicas Beneficios: Únete a una empresa líder a nivel global. Salario acorde al mercado. Grato ambiente laboral. Beneficios corporativos y capacitación constante. Ingreso a planilla, con todos los beneficios de ley. En Experis Perú, promovemos la inclusión e inserción laboral sin distinción por razón de discapacidad, género, orientación, identidad y expresión de género, lugar de origen o generación. Por ello ¡Todos los talentos son bienvenidos!",La Victoria,Presencial
Analista Programador,"More digital. More human. More Minsait. Somos una empresa líder global en tecnología y consultoría digital que conecta personas, tecnología y negocios para generar crecimiento, transformación e impacto positivo y sostenible. ¿A quién buscamos? Buscamos Analista Programador con experiencia en el rubro y ganas de sumarse a nuestros equipos multidisciplinarios para desarrollar soluciones innovadoras. Requisitos: Egresados o bachiller de ingeniería de software o carreras afines. 2 a 3 años de experiencia en desarrollo e integración de sistemas. Diseño y desarrollo de soluciones con Apache NiFi. Desarrollo en Groovy para manipulación de datos. Implementación de componentes en SQL. Experiencia con bases de datos SQL y NoSQL. Desarrollo de integraciones de sistemas y procesos ETL (Extract, Transform, Load). Diagnóstico y solución de errores en los programas. Implementación de medidas de seguridad en las soluciones desarrolladas. Colaboración con equipos de desarrollo y operaciones para la implementación y mantenimiento de aplicaciones. Comunicación efectiva con los stakeholders sobre avances del proyecto. Conocimientos valorados (Deseables): Creación y optimización de flujos de datos en Apache NiFi. Scripting con Groovy. Protocolos de comunicación: REST, MQTT, Kafka, JMS. Monitoreo y logging para seguimiento de procesos. Condiciones de trabajo: Modalidad Híbrida (2 veces por semana en oficinas) en el distrito de San Isidro. Horario de trabajo de Lunes a Viernes de 9:00am a 6:30pm. Beneficios: Planilla Completa desde el 1er día de trabajo. Cobertura al 100% de EPS. Convenios Corporativos. Acceso ilimitado a cursos y certificaciones online en Udemy. Crecimiento y desarrollo profesional. ¡Anímate y postula con nosotros!",San Isidro,Híbrido
FullStack Developer - Por proyecto,"Funciones: Diseñar, desarrollar e implementar aplicaciones web y móviles con buenas prácticas de desarrollo. Implementar y consumir APIs REST para la integración eficiente entre sistemas. Gestionar repositorios y entornos de desarrollo con Git, GitHub o Bitbucket. Configurar y administrar contenedores con Docker y Kubernetes para optimizar despliegues. Trabajar junto al Product Owner para refinar historias de usuario y asegurar una correcta interpretación de los requerimientos. Requisitos: Profesional egresado o bachiller en Ingeniería de Sistemas, Informática o carreras afines. Capacidad de supervisión sin ejercer un rol de liderazgo técnico formal. Conocimientos y experiencia: Experiencia en desarrollo Full Stack. Manejo de tecnologías de frontend (Angular,JavaScript,Bootstrap) y backend (Python y PHP) Conocimientos en bases de datos SQL y/o NoSQL. Ofrecemos: Proyecto de 3 meses (renovable) Presencial 100% ( a partir del 4to mes hibrido) Sede en la victoria (st catalina) Lunes a viernes de 9:00 a. m. a 6:00 p. m. RXH Equipos",Cercado De Lima,Presencial
