Job Title,Description ,District ,Work Mode,URL
Analista Programador,"More digital. More human. More Minsait. Somos una empresa líder global en tecnología y consultoría digital que conecta personas, tecnología y negocios para generar crecimiento, transformación e impacto positivo y sostenible.
¿A quién buscamos?
Buscamos Analista Programador con experiencia en el rubro y ganas de sumarse a nuestros equipos multidisciplinarios para desarrollar soluciones innovadoras.
Requisitos:
Egresados o bachiller de ingeniería de software o carreras afines.
2 a 3 años de experiencia en desarrollo e integración de sistemas.
Diseño y desarrollo de soluciones con Apache NiFi.
Desarrollo en Groovy para manipulación de datos.
Implementación de componentes en SQL.
Experiencia con bases de datos SQL y NoSQL.
Desarrollo de integraciones de sistemas y procesos ETL (Extract, Transform, Load).
Diagnóstico y solución de errores en los programas.
Implementación de medidas de seguridad en las soluciones desarrolladas.
Colaboración con equipos de desarrollo y operaciones para la implementación y mantenimiento de aplicaciones.
Comunicación efectiva con los stakeholders sobre avances del proyecto.
Conocimientos valorados (Deseables):
Creación y optimización de flujos de datos en Apache NiFi.
Scripting con Groovy.
Protocolos de comunicación: REST, MQTT, Kafka, JMS.
Monitoreo y logging para seguimiento de procesos.
Condiciones de trabajo:
Modalidad Híbrida (2 veces por semana en oficinas) en el distrito de San Isidro.
Horario de trabajo de Lunes a Viernes de 9:00am a 6:30pm.
Beneficios:
Planilla Completa desde el 1er día de trabajo.
Cobertura al 100% de EPS.
Convenios Corporativos.
Acceso ilimitado a cursos y certificaciones online en Udemy.
Crecimiento y desarrollo profesional.
¡Anímate y postula con nosotros!","San Isidro, Lima, Peru",Hibrido,https://www.bumeran.com.pe/empleos/analista-programador-indra-peru-1116752132.html
Desarrollador .NET (Net Core) - Remoto,"¡Sé parte de Stefanini!
En Stefanini somos más de 30.000 genios, conectados desde 41 países, haciendo lo que les apasiona y co-creando un futuro mejor.
¡Seguro no te quieres quedar fuera!
Responsabilidades y atribuciones:
Realizar análisis y diseño de sistemas nuevos, mejoras a sistemas existentes y mantenimiento de aplicaciones y procesos en producción.
Brindar soporte técnico relacionado con el análisis de información técnica y el mantenimiento de aplicación.
Participar en pruebas y certificaciones de las mejoras y mantenimientos de las aplicaciones.
Apoyar en la instalación y configuración de programas.
Elaborar y actualizar la documentación requerida para los programas desarrollados o modificados.
Requisitos y competencias:
Experiencia de 2 años trabajando con el Lenguaje de Programación .Net, Net Core 6.0
experienci en el desarrollo de APIs REST.
Conocimiento de desarrollo en aspx, con Visual Basic.
Deseable conocimiento de desarrollo en asp con VBScript
Conocimiento de HTML y JavaScript.
Conocimiento de SQL Server (Stored procedure, jobs, BCP utility para generación de archivos)
Deseable conocimiento en desarrollo de servicios windows.
Experiencia trabajando con Scrum u otros frameworks de agilidad.","Miraflores, Lima, Peru",Remoto,https://www.bumeran.com.pe/empleos/desarrollador-.net-net-core-remoto-stefanini-peru-s.a-1116734987.html
Frontend Developer React,"En Experis Perú buscamos al mejor talento para sumarse a los desafíos de la era digital y llevar su carrera a un siguiente nivel. Por ello, te invitamos a que formes parte del reto como BACKEND DEVELOPER en el rubro de medios de la comunicación:
BACKEND DEVELOPER
Requisitos para postular al cargo:
Profesional de las carreras de Ingeniería de sistemas, industrial, administración o afines.
Experiencia mayor a 3 años en React y REST Api's
Experiencia y manejo avanzado de Typescript
Uso intermedio de Tailwind CSS - Indispensable
Experiencia en manejo de pruebas unitarias y uso de Git
Funciones principales del puesto:
Diseñar y crear funciones interactivas
Construir componentes reutilizables
Escribir código para aplicaciones
Optimizar el rendimiento
Resolver errores
Analizar requisitos de aplicaciones
Documentar cambios en aplicaciones
La empresa ofrece al candidato seleccionado
Únete a una empresa líder a nivel global
Planilla Completa
Beneficios acorde a ley
Trabajo presencial en La Victoria
Seguro Vida Ley
Convenios corporativos, educativos y de recreación
En Experis Perú, promovemos la inclusión e inserción laboral sin distinción por razón de discapacidad, género, orientación, identidad y expresión de género, lugar de origen o generación. Por ello ¡Todos los talentos son bienvenidos!","La Victoria, Lima, Peru",Presencial,https://www.bumeran.com.pe/empleos/frontend-developer-react-manpowergroup-peru-1116752520.html
Desarrollador Fullstack,"🚀 ¡Conócenos y únete a Zenta! 😁✨
Somos Zenta, una aceleradora de tecnología que impulsa la innovación y el desarrollo de soluciones tecnológicas de alto impacto. Como partners oficiales de Google, AWS, Microsoft y monday.com, llevamos más de 16 años en el mercado, contando con un equipo de +300 talentos en más de 17 países. 🌎✨
💡 Creemos en la diversidad e inclusión como pilares clave para transformar el futuro de la tecnología. Nuestro compromiso con el bienestar de nuestro equipo nos ha llevado a ser reconocidos en 2024 como una de las 10 empresas más felices para trabajar en Chile, según el ranking Building Happiness y EFY.📢 ¡Estamos en búsqueda de un Developer Full Stack! 👩🏽‍💻👨🏻‍💻
🤝 En Zenta, todos son bienvenidos. Hoy nos encontramos en la búsqueda de perfiles para nuestra gran base activa donde en el caso de contar con iniciativas nos contactaremos contigo.
📌 Objetivo del rol:
Serás parte del desarrollo de soluciones tecnológicas integrales, participando en todas las etapas del ciclo de vida del software, desde la conceptualización hasta la optimización. Incluye la construcción y mantenimiento de sistemas eficientes, escalables y seguros, contribuyendo a la definición de arquitecturas y automatización de procesos. Además de buenas prácticas de desarrollo y aporta una visión estratégica para resolver desafíos complejos y evolucionar proyectos.
⚡ ¿Cuáles serán tus retos?
Diseñar e implementar soluciones tecnológicas integrales, desde la experiencia de usuario hasta la gestión de datos, alineadas con la arquitectura definida.
Desarrollar servicios backend e integraciones, asegurando la protección de datos y cumpliendo con las validaciones previas del equipo.
Diseñar y optimizar bases de datos escalables y seguras, garantizando eficiencia y cumplimiento de los requisitos del proyecto.
Asegurar el funcionamiento adecuado de las aplicaciones en frontend y backend, manteniendo la calidad y el rendimiento.
Proponer soluciones de mantenimiento y mejora continua, optimizando los sistemas para un funcionamiento eficiente.
Trabajar con equipos multidisciplinarios para alinear objetivos técnicos con las necesidades del negocio y guiar las decisiones estratégicas.
🔧 Requisitos del cargo:
Experiencia de 2-4 años como Desarrollador Fullstack.
Experiencia en Javascript => NodeJs, Angular, NextJS
Experiencia en BD relacionales y no relacionales como Redis y Postgress
Experiencia en desarrollo de API’s y Microservicios
Conocimiento en metodologías ágiles
Conocimiento en versionamiento y pipelines
Deseable conocimiento en patrones de desarrollo
🌍 Idioma: Inglés (ideal).
💼 Modalidad:
100% remoto
Full-time Lunes a Viernes
🎁 Sorpresas que tenemos para ti:
📌Acceso a Beneficios Flexibles.
📌Formación en Cloud (AWS / GCP) u otros.
📌Facilitamos además la accesibilidad y adaptaciones necesarias para personas en situación de discapacidad.

¿Te animas a crecer junto a nosotros y acelerar los negocios?
🏎 ¡Te esperamos! Envíanos tu cv actualizado, para sumarlo a nuestra base activa.
🔗 Postula ahora o etiqueta a alguien que pueda estar interesado/a!","Lima, Lima, Peru",Remoto,https://www.bumeran.com.pe/empleos/desarrollador-fullstack-1116737978.html
ANALISTA PROGRAMADOR DE SISTEMAS,"Nuestra empresa líder en servicios eléctricos de alta ingeniería, esta en busca de un profesional para cubrir la posición de Analista programador de sistemas.
Mision del puesto: Diseñar, desarrollar y mantener aplicaciones informaticas de la organización en función a la demanda de requerimientos, mediante la automatización de procesos, implementación de mejoras ,ejecución de correctivos de las aplicaciones existentes con la finalidad de garantizar la continuidad de las aplicaciones.
Perfil:
Titulado en Ingeniería Infórmatica, Ingeniería de Sistemas, Ciencias de la Computación o carreras afines.
Dominio en: NET 4.5 (C# y VB), SQL Server y/o MySQL (Indispensble), Jquery, Javascript, Angular, BootStrap y HTML.
Conocimiento en herramientas para pruebas Unitarias: Postman o Swagger (deseable) y herramienta.Low code: Power Apps (deseable).
03 años de experiencia en levantamiento y análisis de requerimientos, desarrollo e integración de aplicaciones y/o productos digitales. Experiencia en el desarrollo e implementación de proyectos de tecnología
Disponibilidad para laborar presencialmente en San Juan de Miraflores, lunes a viernes.
¿Que funciones desempeñaras?
Participar en la captura de requerimientos y gestionar su atención mediante prácticas ágiles.
Analizar, diseñar aplicaciones y/o productos digitales mediante el uso de prácticas ""User Interface"".
Desarrollar, mantener y brindar soporte a las aplicaciones de la organización.
Realizar pruebas unitarias y asegurar la calidad del código generado usando herramientas de validación.
Colaborar con el equipo de desarrollo en la definición y diseño de arquitecturas de servicios.
Asistir y capacitar a los usuarios finales de los programas y sistemas de información de la organización.
Otras funciones designadas por su Jefe inmediato.
¿Que te ofrecemos?
Ingreso a planilla.
Capacitaciones.
Remuneración de acorde al mercado.
Subvención de alimentos al 50%.","San Juan De Miraflores, Lima, Peru",Presencial,https://www.bumeran.com.pe/empleos/analista-programador-de-sistemas-tecsur.s.a-1116752494.html
Analista Programador Power Builder Junior,"Importante empresa del sector, se encuentra en la búsqueda de un Analista Junior, Programador Power Builder que cumple con el siguiente perfil:
Requisitos:
Egresado técnico o Universitartio de Ing. Sistemas.
Contar con 1 año de exp. minima en el cargo.
Experiencia con Microsoft Visual SourceSafe Explorer.
Manejo de herramientas como Oracle , base de datos, elaborar scripts y procedimientos.
Experiencia en Programación PowerBuilder 1 1, 1 2, o posterior.
Experiencia con Html, asp, javascript, jquery Java (Deseable).
Funciones:
Analizar, diseñar, desarrollar e implementar nuevas soluciones o proyectos informáticos mediante el uso de las tecnologías de información, dar mantenimiento y soporte a los sistemas del cliente servidor.
Mantener la disponibilidad de los sistemas educativos y administrativos de la organización de manera proactiva.
Administrar el óptimo funcionamiento de los sistemas y encontrar oportunidades de mejora.
Beneficios:
Trabajo remoto.
Sueldo mensual acorde al mercado.
Convenios con instituciones educativas.
.Planilla completa","Lima, Lima, Peru",Remoto,https://www.bumeran.com.pe/empleos/analista-programador-power-builder-junior-1116745817.html
Analista Programador FRONT-END - PRESENCIAL,"Somos Canvia, formamos parte del portafolio de Advent International y contamos con 34 años de presencia en el mercado local. Nuestro propósito es hacer más fácil la vida de las personas, innovando e implementando proyectos de transformación digital de nuestros clientes de manera ágil y segura.
¡Reinventa el futuro con Canvia!
Si sientes pasión por la tecnología y quieres transformar negocios, esta es tu oportunidad para desarrollarte en una empresa inclusiva, diversa, que se desafía constantemente.
Nuestro propósito es hacer más fácil la vida de las personas, innovando e implementando proyectos de transformación digital con un metodología ágil y segura.
Como Analista Programador ANGULAR tendrás la misión de:
Desarrollar la interfaz de usuario en Angular con Microfrontends.
Implementar ngx-translate para la internacionalización.
Optimizar el rendimiento de la interfaz con Lazy Loading y NgxRx.
Integrar con Azure API Management y asegurar la correcta comunicación con el backend.
Garantizar accesibilidad y compatibilidad en múltiples dispositivos.
* REQUISITOS:
Bachiller en la carrera de Ingeniería de sistemas, Ingeniería informática, Ingeniería electrónica, Ingeniería industrial o carreras afines.
Experiencia no menor de 4 años como Analista programador o Analista de aplicaciones o similares.
Manejo indispensable de ANGULAR, Microfrontends
Experiencia con Lazy Loading y NgxRx.
* BENEFICIOS:
Te ofrecemos:
Foco en tu desarrollo y línea de crecimiento a través de Canvia College, donde podrás potenciar tus conocimientos con cursos tendencia en tecnología y de gestión.
La importancia de tu bienestar, por ejemplo, el que tengas tiempo libre el día de tu cumpleaños para que lo disfrutes con las personas que más quieres.
Modalidad híbrida de trabajo, trabajo desde casa en la mayoría de nuestras posiciones.
Ingresarás a planilla desde el primer día.
Porque la salud es muy importante, te coberturamos la EPS en un 80%.
Tendrás una tarjeta de alimentación.
En esta empresa está prohibida la discriminación - Ley N° 29973","Lima, Lima, Peru",Presencial,https://www.bumeran.com.pe/empleos/analista-programador-front-end-presencial-canvia-1116751447.html
Backend Developer NodeJs,"En Experis Perú buscamos al mejor talento para sumarse a los desafíos de la era digital y llevar su carrera a un siguiente nivel. Por ello, te invitamos a que formes parte del reto como BACKEND DEVELOPER en el rubro de medios de la comunicación:
BACKEND DEVELOPER
Requisitos para postular al cargo:
Profesional de las carreras de Ingeniería de sistemas, industrial, administración o afines.
Experiencia mayor a 3 años en NodeJs y REST Api's
Experiencia y manejo avanzado de Typescript
Experiencia mayor a 3 años con bases de datos.
Experiencia en manejo de pruebas unitarias y uso de Git
Funciones principales del puesto:
Desarrollar y mantener aplicaciones
Escribir la lógica de la aplicación web
Gestionar el intercambio de datos entre el servidor y los usuarios
Optimizar el rendimiento de la aplicación
Participar en todo el ciclo de vida del desarrollo de software
La empresa ofrece al candidato seleccionado
Únete a una empresa líder a nivel global
Planilla Completa
Beneficios acorde a ley
Trabajo presencial en La Victoria
Seguro Vida Ley
Convenios corporativos, educativos y de recreación
En Experis Perú, promovemos la inclusión e inserción laboral sin distinción por razón de discapacidad, género, orientación, identidad y expresión de género, lugar de origen o generación. Por ello ¡Todos los talentos son bienvenidos!","La Victoria, Lima, Peru",Presencial,https://www.bumeran.com.pe/empleos/backend-developer-nodejs-manpowergroup-peru-1116752515.html
Desarrollador DevOps - Híbrido,"CSTI Corp es una empresa peruana líder en la industria TI con más de 15 años en el mercado en países como Perú, Ecuador, Colombia, Costa Rica y Estados Unidos.
Ofrece soluciones de negocios en las líneas de Outsourcing, Licenciamientos SAP y Microsoft, soporte y mejora de aplicaciones, así como implementación y migración de sistemas bajo estrategias Cloud, aprovechando su alianza con marcas como Amazon, Azure, Huawei Cloud y Google Cloud.
Nos encontramos en la búsqueda de ""Desarrollador DevOps"":
Requisitos:
Experiencia de 2 a 3 años en desarrollo de aplicaciones de software.
Experiencia en Jira a nivel de tareas de administración: creación/modificación de flujos, roles, automatizaciones, etc.
Experiencia en CI/CD para aplicaciones moviles (Android / iOS) y conocimiento de las diferentes tiendas de aplicaciones en donde se realiza el despliegue de nuevas versiones de aplicaciones web, mobile, etc.
Experiencia creando pipelines de complejidad intermedia que involucre: Shell scripting, ansible, groovy.
Experiencia en despliegue de componentes en Kubernetes.
Experiencia trabajando en incidencias con herramientas DevSecOps.
Experiencia en Frontend en prácticas de CI/CD para aplicaciones/componentes Front-end (compilación, tipos de despliegue, ofuscamiento, SCA, SAST e implementarlas de forma automatizada).
Condiciones:
Modalidad Hibrida 2 veces a la semana en oficina en Chorrillos.
Salario bajo PLANILLA COMPLETA en CSTI.
Horario de lunes a viernes de 8:00 am a 6:00pm.
¡Ven y únete al equipo de CSTI CORP!","Lima, Lima, Peru",Hibrido,https://www.bumeran.com.pe/empleos/desarrollador-devops-hibrido-csti-corp-1116750747.html
Desarrollador FullStack - Semi,"CSTI Corp es una empresa peruana líder en la industria TI con más de 13 años en el mercado en países como Perú, Ecuador, Colombia, Costa Rica y Estados Unidos.
Ofrece soluciones de negocios en las líneas de Outsourcing, Licenciamientos SAP y Microsoft, soporte y mejora de aplicaciones, así como implementación y migración de sistemas bajo estrategias Cloud, aprovechando su alianza con marcas como Amazon, Azure, Huawei Cloud y Google Cloud.
Nos encontramos en la búsqueda de un Desarrollador FullStack Semi, para nuestra línea de negocio.
Requisitos:
Minimo 3 años de experiencia como Fullstack
Experiencia en microservicios con Java y Spring Boot
Experiencia a nivel de frontend con React.js (indispensable) y typescript (deseable)
Bases de datos relacionales (PostgreSQL, SQL Server).
Experiencia trabajando con contenedores (Docker) y herramientas CI/CD
Beneficios:
Modalidad Hibrido en Lima, San Borja
Salario acorde al mercado
Crecimiento profesional
Convenios corporativos (educación, salud, entretenimiento)","Lima, Lima, Peru",Hibrido,https://www.bumeran.com.pe/empleos/desarrollador-fullstack-semi-csti-corp-1116746681.html
