,Link,Título,Descripción,Distrito,Work_Mode
0,https://www.bumeran.com.pe/empleos/desarrollador-senior-java-ntt-data-1116752169.html,Desarrollador Senior Java,3.4,"Lima, Lima, Peru",Otro
1,https://www.bumeran.com.pe/empleos/software-architect-talent-house-peru-s.a.c.-1116750633.html,Software Architect,Alta revisión de perfiles,"San Isidro, Lima, Peru",Otro
2,https://www.bumeran.com.pe/empleos/analista-programador-power-builder-junior-1116745817.html,Analista Programador Power Builder Junior,Alta revisión de perfiles,"Lima, Lima, Peru",Otro
3,https://www.bumeran.com.pe/empleos/desarrollador-front-ios-summit-s.a.c-1116742593.html,DESARROLLADOR FRONT IOS,Alta revisión de perfiles,"Comas, Lima, Peru",Otro
4,https://www.bumeran.com.pe/empleos/analista-programador-de-tecnologias-de-la-informacion-instituto-quimioterapico-s.a.-iqfarma-1116740821.html,Analista Programador de Tecnologías de la información,3.8,"El Agustino, Lima, Peru",Otro
5,https://www.bumeran.com.pe/empleos/frontend-developer-react-maseka-consulting-s.a.c.-1116739942.html,Frontend Developer React,"ZUTUN. es una empresa de software boutique con amplia experiencia en banca, seguros, fintech y retail. Nuestro colectivo funciona como un verdadero equipo, valorando la colaboración, la sinergia y el apoyo mutuo entre nuestros miembros, reconociendo que el talento es el núcleo y el equipo es quien juega el partido.
Te invitamos a participar de proceso FRONTEND DEVELOPER REACT y ser parte de esta experiencia:
REQUISITOS:
Experiencia mínima de 2 años con React JS en aplicaciones SSG (Static Site Generation).
Experiencia mínima de 2 años de experiencia Typescript.
Experiencia de 1 año con aplicaciones web SSR (Server Side Rendering) o híbridas desarrolladas con Node.
CSS avanzado: Animaciones, variables, preprocesadores (SASS/SCSS).
Frameworks de CSS: Tailwind CSS, Materialize.
Conocimiento de patrones de diseño aplicado al frontend.
Manejo de Git (GitHub o GitLab)
Pruebas unitarias.
Aplicación de semanticismo y accesibilidad en la web.
Ideal conocimiento de: Core Web Vitals, SEO, Analítica digital (Ej. Google Analytics), AWS, IaC,
Plataformas, ARC XP (CMS) y/o PIANO.
¿QUE OFRECEMOS?
Oportunidades de aprendizaje, donde tú eres responsable de tu desarrollo.
Trabajo en base al sentido común, metas, flexibilidad de horarios y de manera hibrida.
Una organización totalmente horizontal, donde se escuchan tus ideas y opiniones, sin jerarquías ni egos, basado en nuestra cultura C+
Consideraciones: Recibo por honorarios, tiempo de contratación: 3 meses renovables.","Pueblo Libre, Lima, Peru",Otro
6,https://www.bumeran.com.pe/empleos/analista-programador-de-sistemas-hibrido-tecsup-1116737470.html,Analista Programador de Sistemas - Híbrido,"Tecsup, instituto líder en educación tecnológica con 40 años en el mercado formando profesionales innovadores y éticos. Reconocido como una de las mejores instituciones educativas para trabajar. ¡Postula y únete a nuestra COMUNIDAD DE INNOVADORES!
En esta oportunidad se busca un Analista Programador de Sistemas con las siguientes características:
Perfil Profesional:
Profesional de la carrera de Desarrollo de Software o similares.
Experiencia mínima de 5 años como programador de sistemas, Desarrollador Full Stack de sistemas o similares.
Conocimiento en Lenguaje de Programación JAVA, JavaScript, JSON, Angular.
Conocimiento de estandares de diseño web.
Conocimiento de PL/SQL.
Conocimiento en metodologías ágiles.
Funciones:
Atender los requerimientos de los usuarios para mejora o nuevas funcionalidades de los sistemas de información.
Analizar los requerimientos del usuario, con la finalidad de entender las necesidades correspondientes.
Plantear mejoras a las aplicaciones existentes con la finalidad de agilizar el trabajo del usuarioRealizar el control de calidad de las aplicaciones para un correcto funcionamiento del mismo.
Realizar el mantenimiento de aplicaciones por nuevas funcionalidades solicitadas por el usuario.
Investigar y proponer nuevas herramientas de TI en el mercado en lugar de desarrollarlas.
Asesorar a otras áreas en los proyectos relacionados a TI.
Capacitar al usuario en el uso de la aplicación a fin de mantener permanentemente actualizado frente a los cambios tecnológicos.
Elaborar y actualizar los manuales de usuario para el uso de los colaboradoresMonitorear el avance de las actividades asignadas a los programadores web.
Elaborar y actualizar la documentación de los sistemas informaticos existentes.
Desarrollar nuevas aplicaciones para atender las necesidades de los usuarios.
Importante considerar:
Modalidad de trabajo: Hibrido
Horario de trabajo: Lunes a Viernes de 8:00 am a 6:00pm
Lugar de Trabajo: Santa Anita
""En Tecsup nos comprometemos con la igualdad de oportunidades. Todas las personas serán consideradas en el proceso de postulación"".","Santa Anita, Lima, Peru",Otro
7,https://www.bumeran.com.pe/empleos/data-scientist-associate-%7C-desarrollo-de-modelos-riesgos-bbva-1116752543.html,Data Scientist Associate | Desarrollo de Modelos Riesgos,4.0,"San Isidro, Lima, Peru",Otro
8,https://www.bumeran.com.pe/empleos/frontend-developer-react-manpowergroup-peru-1116752520.html,Frontend Developer React,4.0,"La Victoria, Lima, Peru",Otro
9,https://www.bumeran.com.pe/empleos/backend-developer-nodejs-manpowergroup-peru-1116752515.html,Backend Developer NodeJs,4.0,"La Victoria, Lima, Peru",Otro
10,https://www.bumeran.com.pe/empleos/analista-programador-de-sistemas-tecsur.s.a-1116752494.html,ANALISTA PROGRAMADOR DE SISTEMAS,4.3,"San Juan de Miraflores, Lima, Peru",Otro
11,https://www.bumeran.com.pe/empleos/jefe-de-sistemas-ti-experis-peru-1116752439.html,Jefe de sistemas (TI),"En Experis Perú buscamos al mejor talento para sumarse a los desafíos de la era digital y llevar su carrera a un siguiente nivel. Por ello, te invitamos a que formes parte del reto como Jefe de TI (Desarrollo) para la ciudad de Lima.
Funciones:
Supervisar el desarrollo e implementación de los sistemas de generación y validación de valores de seguridad, así como los de cifrado/descifrado de información de intercambio.
Supervisar el desarrollo del sistema prepago del Switch.
Supervisar el desarrollo y soporte de los sistemas de interconexión e integración de entidades y nuevos servicios.
Realizar seguimiento y mantener actualizada la documentación de los cambios que se efectúen en el software de los aplicativos a su cargo.
Revisar periódicamente los informes del Centro de Cómputo respecto a los procesos en línea con el fin de optimizarlos
Requisitos para el puesto:
Profesional titulado o bachiller en Ingeniería de Sistemas, Ingeniería de Software, o afines.
Mínimo 5 a 7 años de experiencia en cargos similares, preferiblemente en el sector financiero o afines.
Conocimiento avanzado en lenguajes de programación (C, C++, Java, Python, .NET), bases de datos, microservicios y normas de seguridad (PCI DSS, ISO 27001).
Experiencia en gestión de equipos y proyectos ágiles (Scrum, Kanban).
Inglés avanzado y habilidades de comunicación efectiva.
Te ofrecemos:
Modalidad de trabajo híbrida.
Oportunidades de crecimiento y desarrollo profesional.
Planilla directa con el cliente con todos los beneficios de ley.
En Experis Perú, promovemos la inclusión e inserción laboral sin distinción por razón de discapacidad, género, orientación, identidad y expresión de género, lugar de origen o generación. Por ello ¡Todos los talentos son bienvenidos!","Miraflores, Lima, Peru",Otro
