rank,points,hack_count,participant_type,member_handles,problem_A_points,problem_A_penalty,problem_A_rejected,problem_B_points,problem_B_penalty,problem_B_rejected,problem_C_points,problem_C_penalty,problem_C_rejected,problem_D_points,problem_D_penalty,problem_D_rejected,problem_E_points,problem_E_penalty,problem_E_rejected,problem_F_points,problem_F_penalty,problem_F_rejected,problem_G_points,problem_G_penalty,problem_G_rejected
1,7.0,0,CONTESTANT,zdc123456,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0
2,6.0,0,VIRTUAL,Ormlis,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,0.0,0,3
3,6.0,0,CONTESTANT,StarSilk,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,2,1.0,0,0,1.0,0,0,0.0,0,0
3,6.0,0,CONTESTANT,Irmuun.Ch,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,0.0,0,2
5,6.0,0,CONTESTANT,abc864197532,1.0,0,0,1.0,0,1,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,0.0,0,0
6,6.0,0,CONTESTANT,A_G,1.0,0,0,1.0,0,0,1.0,0,1,1.0,0,0,1.0,0,0,1.0,0,2,0.0,0,2
7,6.0,0,CONTESTANT,siganai,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,0.0,0,0
8,6.0,0,CONTESTANT,potato167,1.0,0,0,1.0,0,1,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,0.0,0,0
9,6.0,0,CONTESTANT,risujiroh,1.0,0,0,1.0,0,0,1.0,0,1,1.0,0,0,1.0,0,0,1.0,0,0,0.0,0,0
10,6.0,0,CONTESTANT,Rubikun,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,2,1.0,0,0,0.0,0,0
11,6.0,0,CONTESTANT,Sugar_fan,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,1,1.0,0,1,0.0,0,1
12,6.0,0,CONTESTANT,goingtheextrakilometer,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,1,1.0,0,0,1.0,0,0,0.0,0,0
13,6.0,0,CONTESTANT,Egor,1.0,0,0,1.0,0,2,1.0,0,1,1.0,0,0,1.0,0,0,1.0,0,1,0.0,0,2
14,6.0,0,CONTESTANT,Brovko,1.0,0,0,1.0,0,1,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,1,0.0,0,0
15,6.0,0,CONTESTANT,antontrygubO_o,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,1,1.0,0,0,1.0,0,2,0.0,0,0
16,6.0,0,VIRTUAL,ChaoJiht,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,0.0,0,4
17,6.0,0,VIRTUAL,5k_sync_closer,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,0.0,0,5
18,6.0,0,VIRTUAL,RDDCCD,1.0,0,0,1.0,0,1,1.0,0,1,1.0,0,0,1.0,0,1,1.0,0,1,0.0,0,2
19,6.0,0,CONTESTANT,AgafonovArtem,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,1,1.0,0,0,0.0,0,0
20,6.0,0,CONTESTANT,DylanSmith,1.0,0,0,1.0,0,0,1.0,0,1,1.0,0,0,1.0,0,0,1.0,0,1,0.0,0,0
21,6.0,0,CONTESTANT,propane,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,2,0.0,0,0
22,6.0,0,VIRTUAL,zltzlt,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,5,1.0,0,1,0.0,0,0
23,6.0,0,VIRTUAL,wfb,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,1,1.0,0,1,0.0,0,0
24,6.0,0,CONTESTANT,Fantasy_Blue,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,2,1.0,0,0,1.0,0,2,0.0,0,0
25,6.0,0,CONTESTANT,KarinaOfGSHS41stLSB,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,4,0.0,0,0
26,6.0,0,CONTESTANT,penguin2,1.0,0,0,1.0,0,1,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,0.0,0,0
27,6.0,0,CONTESTANT,leaf1415,1.0,0,0,1.0,0,1,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,1,0.0,0,0
28,6.0,0,VIRTUAL,riano_,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,1,1.0,0,1,0.0,0,0
29,6.0,0,CONTESTANT,Fysty,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,1,1.0,0,0,0.0,0,0
30,6.0,0,CONTESTANT,Ronnie007,1.0,0,0,1.0,0,0,1.0,0,1,1.0,0,1,1.0,0,1,1.0,0,0,0.0,0,0
31,6.0,0,VIRTUAL,mickeyjung,1.0,0,0,1.0,0,0,1.0,0,1,1.0,0,0,1.0,0,4,1.0,0,0,0.0,0,0
32,6.0,0,CONTESTANT,beiyuli,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,1,1.0,0,0,0.0,0,0
33,6.0,0,CONTESTANT,wwxyy,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,1,0.0,0,0
34,6.0,0,VIRTUAL,DevastatingStrike,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,0.0,0,0
35,6.0,0,CONTESTANT,turkhuu622,1.0,0,0,1.0,0,1,1.0,0,1,1.0,0,0,1.0,0,0,1.0,0,0,0.0,0,0
36,6.0,0,CONTESTANT,FloatingOcean,1.0,0,0,1.0,0,0,1.0,0,1,1.0,0,1,1.0,0,0,1.0,0,1,0.0,0,0
37,6.0,0,CONTESTANT,shobonvip,1.0,0,0,1.0,0,0,1.0,0,1,1.0,0,0,1.0,0,5,1.0,0,0,0.0,0,2
38,6.0,0,CONTESTANT,ReEndofaDream,1.0,0,0,1.0,0,1,1.0,0,1,1.0,0,1,1.0,0,0,1.0,0,0,0.0,0,0
39,6.0,0,CONTESTANT,Triseedot,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,3,1.0,0,1,0.0,0,0
39,6.0,0,CONTESTANT,rand,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,2,1.0,0,2,1.0,0,1,0.0,0,0
39,6.0,0,VIRTUAL,sherman2022,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,2,1.0,0,1,1.0,0,0,0.0,0,0
42,6.0,0,VIRTUAL,abhsjsofhfdu,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,3,1.0,0,3,1.0,0,1,0.0,0,0
43,6.0,0,CONTESTANT,wzx_ON9,1.0,0,0,1.0,0,2,1.0,0,1,1.0,0,0,1.0,0,1,1.0,0,1,0.0,0,0
44,6.0,0,VIRTUAL,Duck_sajin,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,2,1.0,0,4,1.0,0,0,0.0,0,0
45,6.0,0,VIRTUAL,MusicBox,1.0,0,0,1.0,0,0,1.0,0,1,1.0,0,0,1.0,0,2,1.0,0,1,0.0,0,0
46,6.0,0,VIRTUAL,Yuuuuuuuuuuuuuuuuu,1.0,0,0,1.0,0,1,1.0,0,0,1.0,0,0,1.0,0,2,1.0,0,7,0.0,0,0
47,6.0,0,CONTESTANT,HUST_UESLESS,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,2,1.0,0,1,1.0,0,4,0.0,0,0
48,6.0,0,CONTESTANT,GOTKAKO,1.0,0,0,1.0,0,0,1.0,0,1,1.0,0,1,1.0,0,0,1.0,0,0,0.0,0,0
