rank,points,hack_count,participant_type,member_handles,problem_A_points,problem_A_penalty,problem_A_rejected,problem_B_points,problem_B_penalty,problem_B_rejected,problem_C_points,problem_C_penalty,problem_C_rejected,problem_D_points,problem_D_penalty,problem_D_rejected,problem_E_points,problem_E_penalty,problem_E_rejected,problem_F_points,problem_F_penalty,problem_F_rejected,problem_G_points,problem_G_penalty,problem_G_rejected,problem_H_points,problem_H_penalty,problem_H_rejected,problem_I1_points,problem_I1_penalty,problem_I1_rejected,problem_I2_points,problem_I2_penalty,problem_I2_rejected
1,15538.0,0,CONTESTANT,jiangly,498.0,0,0,987.0,0,0,1220.0,0,0,1690.0,0,0,1883.0,0,0,2050.0,0,1,2106.0,0,3,2736.0,0,0,2368.0,0,0,0.0,0,0
2,13831.0,0,CONTESTANT,ecnerwala,498.0,0,0,979.0,0,0,1210.0,0,0,1662.0,0,0,1723.0,0,0,2240.0,0,0,3015.0,0,0,0.0,0,1,2504.0,0,0,0.0,0,0
3,13354.0,0,CONTESTANT,Benq,499.0,0,0,987.0,0,0,1224.0,0,0,1685.0,0,0,1835.0,0,0,2114.0,0,0,2562.0,0,0,0.0,0,0,2448.0,0,0,0.0,0,0
4,13213.0,0,CONTESTANT,Egor,498.0,0,0,982.0,0,0,1204.0,0,0,1643.0,0,0,1750.0,0,0,2040.0,0,0,0.0,0,6,2720.0,0,2,2376.0,0,0,0.0,0,0
5,13191.0,0,CONTESTANT,Radewoosh,498.0,0,0,987.0,0,0,1220.0,0,0,1671.0,0,0,1798.0,0,0,2114.0,0,0,2761.0,0,1,0.0,0,2,2142.0,0,1,0.0,0,0
6,13101.0,0,CONTESTANT,Petr,496.0,0,0,976.0,0,0,1197.0,0,0,1638.0,0,0,1819.0,0,0,2087.0,0,0,2496.0,0,2,0.0,0,0,2392.0,0,0,0.0,0,0
7,13034.0,0,CONTESTANT,Ormlis,494.0,0,0,974.0,0,0,1204.0,0,0,1648.0,0,0,1753.0,0,1,2094.0,0,0,2795.0,0,1,0.0,0,0,2072.0,0,0,0.0,0,0
8,13019.0,0,CONTESTANT,ksun48,448.0,0,1,905.0,0,1,1217.0,0,0,1671.0,0,0,1840.0,0,0,1980.0,0,2,0.0,0,1,2566.0,0,1,2392.0,0,0,0.0,0,0
9,13000.0,0,CONTESTANT,Nachia,498.0,0,0,979.0,0,0,1194.0,0,0,1638.0,0,0,1803.0,0,0,2120.0,0,0,2552.0,0,2,0.0,0,0,2216.0,0,0,0.0,0,0
10,12671.0,0,CONTESTANT,EnofTaiPeople,499.0,0,0,984.0,0,0,1204.0,0,0,1657.0,0,0,1814.0,0,0,2074.0,0,0,2743.0,0,0,0.0,0,0,1696.0,0,0,0.0,0,0
11,12628.0,0,CONTESTANT,strapple,499.0,0,0,987.0,0,0,1217.0,0,0,1671.0,0,0,1846.0,0,0,2114.0,0,0,2022.0,0,4,0.0,0,0,2272.0,0,0,0.0,0,0
12,12577.0,0,CONTESTANT,tute7627,498.0,0,0,982.0,0,0,1200.0,0,0,1643.0,0,0,1755.0,0,0,2000.0,0,0,2251.0,0,1,0.0,0,0,2248.0,0,0,0.0,0,0
13,12476.0,0,CONTESTANT,turmax,498.0,0,0,990.0,0,0,1217.0,0,0,1648.0,0,0,1803.0,0,0,2060.0,0,0,2292.0,0,2,0.0,0,0,1968.0,0,0,0.0,0,0
14,12077.0,0,CONTESTANT,Xylenox,499.0,0,0,984.0,0,0,1217.0,0,0,1638.0,0,0,1750.0,0,0,1647.0,0,2,2342.0,0,1,0.0,0,0,2000.0,0,0,0.0,0,0
15,12003.0,0,CONTESTANT,heuristica,496.0,0,0,870.0,0,1,1137.0,0,0,1615.0,0,0,1750.0,0,0,1987.0,0,0,2012.0,0,6,0.0,0,0,2136.0,0,0,0.0,0,0
16,11718.0,0,OUT_OF_COMPETITION,hyman00,496.0,0,0,976.0,0,0,1204.0,0,0,1643.0,0,0,1808.0,0,0,1987.0,0,0,3604.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
17,10691.0,0,CONTESTANT,JoesSR,499.0,0,0,984.0,0,0,1217.0,0,0,1671.0,0,0,1835.0,0,0,2187.0,0,0,2298.0,0,3,0.0,0,0,0.0,0,0,0.0,0,0
18,10523.0,0,CONTESTANT,maspy,498.0,0,0,987.0,0,0,1200.0,0,0,1643.0,0,0,1771.0,0,0,2080.0,0,0,0.0,0,0,0.0,0,0,2344.0,0,0,0.0,0,0
19,10517.0,0,CONTESTANT,shiomusubi496,496.0,0,0,974.0,0,0,1197.0,0,0,1634.0,0,0,1808.0,0,0,2120.0,0,0,0.0,0,0,0.0,0,0,2288.0,0,0,0.0,0,0
20,10421.0,0,CONTESTANT,noimi,499.0,0,0,990.0,0,0,1220.0,0,0,1685.0,0,0,1846.0,0,0,1877.0,0,3,0.0,0,0,0.0,0,0,2304.0,0,0,0.0,0,0
21,10373.0,0,CONTESTANT,Licha06,498.0,0,0,987.0,0,0,1217.0,0,0,1657.0,0,0,1846.0,0,0,2114.0,0,0,0.0,0,3,0.0,0,0,2054.0,0,1,0.0,0,0
22,10353.0,0,CONTESTANT,_l_l_,496.0,0,0,916.0,0,1,1207.0,0,0,1662.0,0,0,1819.0,0,0,2087.0,0,0,0.0,0,0,0.0,0,0,2166.0,0,1,0.0,0,0
23,10333.0,0,CONTESTANT,TLEwpdus,496.0,0,0,979.0,0,0,1210.0,0,0,1662.0,0,0,1808.0,0,0,1994.0,0,0,0.0,0,0,0.0,0,0,2184.0,0,0,0.0,0,0
24,10328.0,0,CONTESTANT,PEIMUDA,498.0,0,0,979.0,0,0,1197.0,0,0,1638.0,0,0,1760.0,0,0,2000.0,0,0,0.0,0,0,0.0,0,0,2256.0,0,0,0.0,0,0
25,10321.0,0,CONTESTANT,taeyeon_ss,499.0,0,0,987.0,0,0,1220.0,0,0,1643.0,0,0,1776.0,0,0,1974.0,0,0,0.0,0,8,0.0,0,0,2222.0,0,1,0.0,0,0
26,10295.0,0,VIRTUAL,cxm1024,496.0,0,0,984.0,0,0,1217.0,0,0,1638.0,0,0,1798.0,0,0,1994.0,0,0,0.0,0,0,0.0,0,0,2168.0,0,0,0.0,0,0
