handle,old_rating,new_rating,change,rank,contest_id,contest_name
_worst_,0,1005,1005,1,1983,Codeforces Round 956 (Div. 2) and ByteRace 2024
Shirayuki_Noa,1469,2014,545,2,1983,Codeforces Round 956 (Div. 2) and ByteRace 2024
cynNYCal,0,955,955,3,1983,Codeforces Round 956 (Div. 2) and ByteRace 2024
cocae,1944,2285,341,4,1983,Codeforces Round 956 (Div. 2) and ByteRace 2024
_furina,868,1543,675,5,1983,Codeforces Round 956 (Div. 2) and ByteRace 2024
mori_kogoro,1174,1751,577,6,1983,Codeforces Round 956 (Div. 2) and ByteRace 2024
nguyentunglam,1292,1768,476,7,1983,Codeforces Round 956 (Div. 2) and ByteRace 2024
Cai,2024,2236,212,8,1983,Codeforces Round 956 (Div. 2) and ByteRace 2024
ndt23,1867,2181,314,9,1983,Codeforces Round 956 (Div. 2) and ByteRace 2024
Darko1,0,897,897,10,1983,Codeforces Round 956 (Div. 2) and ByteRace 2024
sadonion,1555,1956,401,11,1983,Codeforces Round 956 (Div. 2) and ByteRace 2024
Skird,2062,2244,182,12,1983,Codeforces Round 956 (Div. 2) and ByteRace 2024
ampl,1138,1684,546,13,1983,Codeforces Round 956 (Div. 2) and ByteRace 2024
harsh__h,2078,2246,168,14,1983,Codeforces Round 956 (Div. 2) and ByteRace 2024
crossedNightTour,2066,2234,168,15,1983,Codeforces Round 956 (Div. 2) and ByteRace 2024
otto_ccb,1563,1890,327,16,1983,Codeforces Round 956 (Div. 2) and ByteRace 2024
diandian2020,2065,2284,219,17,1983,Codeforces Round 956 (Div. 2) and ByteRace 2024
instant_blue,1607,1962,355,18,1983,Codeforces Round 956 (Div. 2) and ByteRace 2024
A_box_of_yogurt,1782,2077,295,19,1983,Codeforces Round 956 (Div. 2) and ByteRace 2024
xcc_szy0905,1731,1987,256,20,1983,Codeforces Round 956 (Div. 2) and ByteRace 2024
Astatinear,1605,1951,346,21,1983,Codeforces Round 956 (Div. 2) and ByteRace 2024
secretman1312,2016,2177,161,22,1983,Codeforces Round 956 (Div. 2) and ByteRace 2024
Fracture-Dream,1810,2033,223,23,1983,Codeforces Round 956 (Div. 2) and ByteRace 2024
_Separation,1052,1555,503,24,1983,Codeforces Round 956 (Div. 2) and ByteRace 2024
Caiiii,2003,2218,215,25,1983,Codeforces Round 956 (Div. 2) and ByteRace 2024
bemyqueenkong,0,849,849,26,1983,Codeforces Round 956 (Div. 2) and ByteRace 2024
tassei903,2022,2173,151,27,1983,Codeforces Round 956 (Div. 2) and ByteRace 2024
dabbler1,2078,2210,132,28,1983,Codeforces Round 956 (Div. 2) and ByteRace 2024
ByteRace_2024,0,844,844,29,1983,Codeforces Round 956 (Div. 2) and ByteRace 2024
GammaRays,1933,2106,173,30,1983,Codeforces Round 956 (Div. 2) and ByteRace 2024
zawatin,2003,2153,150,31,1983,Codeforces Round 956 (Div. 2) and ByteRace 2024
steveonalex,1937,2105,168,32,1983,Codeforces Round 956 (Div. 2) and ByteRace 2024
