party,rank,points,penalty,successfulHackCount,unsuccessfulHackCount,problemResults
"{'contestId': 1983, 'participantId': 186074064, 'members': [{'handle': '_worst_'}], 'participantType': 'CONTESTANT', 'ghost': False, 'room': 537, 'startTimeSeconds': 1720362900}",1,8695.0,0,0,0,"[{'points': 306.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 5835}, {'points': 620.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 5746}, {'points': 805.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 5360}, {'points': 1176.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 4975}, {'points': 1384.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 4656}, {'points': 1910.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 3565}, {'points': 2494.0, 'rejectedAttemptCount': 1, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 2315}]"
"{'contestId': 1983, 'participantId': 186072671, 'members': [{'handle': 'Shirayuki_Noa'}], 'participantType': 'CONTESTANT', 'ghost': False, 'room': 457, 'startTimeSeconds': 1720362900}",2,7971.0,0,0,0,"[{'points': 498.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 113}, {'points': 976.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 372}, {'points': 1180.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 868}, {'points': 1603.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 1260}, {'points': 1744.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 1924}, {'points': 1970.0, 'rejectedAttemptCount': 2, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 2619}, {'points': 0.0, 'rejectedAttemptCount': 1, 'type': 'FINAL'}]"
"{'contestId': 1983, 'participantId': 186068402, 'members': [{'handle': 'cynNYCal'}], 'participantType': 'CONTESTANT', 'ghost': False, 'room': 531, 'startTimeSeconds': 1720362900}",3,7916.0,0,0,0,"[{'points': 498.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 79}, {'points': 980.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 323}, {'points': 1175.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 926}, {'points': 1575.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 1518}, {'points': 1728.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 2075}, {'points': 1960.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 3274}, {'points': 0.0, 'rejectedAttemptCount': 3, 'type': 'FINAL'}]"
"{'contestId': 1983, 'participantId': 186032882, 'members': [{'handle': 'cocae'}], 'participantType': 'CONTESTANT', 'ghost': False, 'room': 345, 'startTimeSeconds': 1720362900}",4,7407.0,0,0,0,"[{'points': 494.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 215}, {'points': 952.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 770}, {'points': 1130.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 1493}, {'points': 1505.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 2132}, {'points': 1616.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 2889}, {'points': 1710.0, 'rejectedAttemptCount': 1, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 4440}, {'points': 0.0, 'rejectedAttemptCount': 0, 'type': 'FINAL'}]"
"{'contestId': 1983, 'participantId': 185775342, 'members': [{'handle': '_furina'}], 'participantType': 'CONTESTANT', 'ghost': False, 'room': 664, 'startTimeSeconds': 1720362900}",5,7321.0,0,0,0,"[{'points': 496.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 168}, {'points': 944.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 898}, {'points': 1115.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 1677}, {'points': 1498.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 2176}, {'points': 1568.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 3259}, {'points': 1700.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 4858}, {'points': 0.0, 'rejectedAttemptCount': 0, 'type': 'FINAL'}]"
"{'contestId': 1983, 'participantId': 186070269, 'members': [{'handle': 'mori_kogoro'}], 'participantType': 'CONTESTANT', 'ghost': False, 'room': 310, 'startTimeSeconds': 1720362900}",6,7307.0,0,0,0,"[{'points': 498.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 109}, {'points': 968.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 520}, {'points': 1170.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 1013}, {'points': 1575.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 1518}, {'points': 1536.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 3482}, {'points': 1560.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 5650}, {'points': 0.0, 'rejectedAttemptCount': 0, 'type': 'FINAL'}]"
"{'contestId': 1983, 'participantId': 185784419, 'members': [{'handle': 'nguyentunglam'}], 'participantType': 'CONTESTANT', 'ghost': False, 'room': 701, 'startTimeSeconds': 1720362900}",7,7241.0,0,0,0,"[{'points': 498.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 84}, {'points': 972.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 442}, {'points': 1095.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 1883}, {'points': 1498.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 2185}, {'points': 1528.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 3553}, {'points': 1650.0, 'rejectedAttemptCount': 2, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 4509}, {'points': 0.0, 'rejectedAttemptCount': 0, 'type': 'FINAL'}]"
"{'contestId': 1983, 'participantId': 185896304, 'members': [{'handle': 'Cai'}], 'participantType': 'CONTESTANT', 'ghost': False, 'room': 678, 'startTimeSeconds': 1720362900}",8,7049.0,0,0,0,"[{'points': 492.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 248}, {'points': 956.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 714}, {'points': 1120.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 1576}, {'points': 1385.0, 'rejectedAttemptCount': 1, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 2741}, {'points': 1496.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 3812}, {'points': 1600.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 5421}, {'points': 0.0, 'rejectedAttemptCount': 0, 'type': 'FINAL'}]"
"{'contestId': 1983, 'participantId': 185753279, 'members': [{'handle': 'ndt23'}], 'participantType': 'CONTESTANT', 'ghost': False, 'room': 560, 'startTimeSeconds': 1720362900}",9,7017.0,0,0,0,"[{'points': 496.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 143}, {'points': 960.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 652}, {'points': 1155.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 1157}, {'points': 1498.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 2203}, {'points': 1488.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 3899}, {'points': 1420.0, 'rejectedAttemptCount': 2, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 5933}, {'points': 0.0, 'rejectedAttemptCount': 0, 'type': 'FINAL'}]"
"{'contestId': 1983, 'participantId': 186051642, 'members': [{'handle': 'Darko1'}], 'participantType': 'CONTESTANT', 'ghost': False, 'room': 310, 'startTimeSeconds': 1720362900}",10,7008.0,0,0,0,"[{'points': 494.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 204}, {'points': 960.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 651}, {'points': 1125.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 1513}, {'points': 1491.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 2225}, {'points': 1528.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 3562}, {'points': 1410.0, 'rejectedAttemptCount': 1, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 6256}, {'points': 0.0, 'rejectedAttemptCount': 0, 'type': 'FINAL'}]"
