handle,old_rating,new_rating,change,rank,contest_id,contest_name
tourist,3880,3947,67,1,1991,Pinely Round 4 (Div. 1 + Div. 2)
jqdai0815,3532,3620,88,2,1991,Pinely Round 4 (Div. 1 + Div. 2)
Radewoosh,3522,3582,60,3,1991,Pinely Round 4 (Div. 1 + Div. 2)
ksun48,3406,3474,68,4,1991,Pinely Round 4 (Div. 1 + Div. 2)
heuristica,3196,3300,104,5,1991,Pinely Round 4 (Div. 1 + Div. 2)
hos.lyric,3196,3286,90,6,1991,Pinely Round 4 (Div. 1 + Div. 2)
jiangly,3669,3627,-42,7,1991,Pinely Round 4 (Div. 1 + Div. 2)
Benq,3627,3586,-41,8,1991,Pinely Round 4 (Div. 1 + Div. 2)
BurnedChicken,3128,3206,78,9,1991,Pinely Round 4 (Div. 1 + Div. 2)
Szoboszlai10,2877,3011,134,10,1991,Pinely Round 4 (Div. 1 + Div. 2)
hank55663,2826,2966,140,11,1991,Pinely Round 4 (Div. 1 + Div. 2)
Karuna,2821,2957,136,12,1991,Pinely Round 4 (Div. 1 + Div. 2)
dreamoon_love_AA,2771,2914,143,13,1991,Pinely Round 4 (Div. 1 + Div. 2)
gamegame,3437,3406,-31,14,1991,Pinely Round 4 (Div. 1 + Div. 2)
ko_osaga,3083,3136,53,15,1991,Pinely Round 4 (Div. 1 + Div. 2)
dlalswp25,2828,2942,114,16,1991,Pinely Round 4 (Div. 1 + Div. 2)
yuto1115,2980,3051,71,17,1991,Pinely Round 4 (Div. 1 + Div. 2)
noimi,3033,3086,53,18,1991,Pinely Round 4 (Div. 1 + Div. 2)
Nextby,2637,2788,151,19,1991,Pinely Round 4 (Div. 1 + Div. 2)
Petr,3284,3266,-18,20,1991,Pinely Round 4 (Div. 1 + Div. 2)
zjy2008,2538,2709,171,21,1991,Pinely Round 4 (Div. 1 + Div. 2)
caubetraidatmarvin,2784,2887,103,22,1991,Pinely Round 4 (Div. 1 + Div. 2)
PEIMUDA,2599,2747,148,23,1991,Pinely Round 4 (Div. 1 + Div. 2)
SSerxhs,2981,3027,46,24,1991,Pinely Round 4 (Div. 1 + Div. 2)
wangziji,3077,3096,19,25,1991,Pinely Round 4 (Div. 1 + Div. 2)
dorijanlendvaj,2882,2948,66,26,1991,Pinely Round 4 (Div. 1 + Div. 2)
Rubikun,2874,2939,65,27,1991,Pinely Round 4 (Div. 1 + Div. 2)
Egor,3056,3072,16,28,1991,Pinely Round 4 (Div. 1 + Div. 2)
fengqiyuka,2688,2796,108,29,1991,Pinely Round 4 (Div. 1 + Div. 2)
A_G,2944,2984,40,30,1991,Pinely Round 4 (Div. 1 + Div. 2)
YeongTree,2652,2765,113,31,1991,Pinely Round 4 (Div. 1 + Div. 2)
0wuming0,2491,2644,153,32,1991,Pinely Round 4 (Div. 1 + Div. 2)
neal,2897,2942,45,33,1991,Pinely Round 4 (Div. 1 + Div. 2)
