contestId,index,name,type,points,rating,tags
2002,A,Distanced Coloring,PROGRAMMING,500.0,800,"['constructive algorithms', 'implementation', 'math']"
2002,B,Removals Game,PROGRAMMING,750.0,1000,"['constructive algorithms', 'games']"
2002,C,Black Circles,PROGRAMMING,1000.0,1200,"['brute force', 'geometry', 'greedy', 'math']"
2002,D1,DFS Checker (Easy Version),PROGRAMMING,1250.0,1900,"['brute force', 'data structures', 'dfs and similar', 'graphs', 'hashing', 'trees']"
2002,D2,DFS Checker (Hard Version),PROGRAMMING,1250.0,2300,"['binary search', 'data structures', 'dfs and similar', 'graphs', 'hashing', 'trees']"
2002,E,Cosmic Rays,PROGRAMMING,2000.0,2300,"['brute force', 'data structures', 'dp']"
2002,F1,Court Blue (Easy Version),PROGRAMMING,2000.0,2600,"['brute force', 'dfs and similar', 'dp', 'math', 'number theory']"
2002,F2,Court Blue (Hard Version),PROGRAMMING,1250.0,2800,"['brute force', 'dp', 'math', 'number theory']"
2002,G,Lattice Optimizing,PROGRAMMING,4000.0,3400,"['bitmasks', 'brute force', 'hashing', 'meet-in-the-middle']"
2002,H,Counting 101,PROGRAMMING,6000.0,3500,['greedy']
