handle,old_rating,new_rating,change,rank,contest_id,contest_name
jiangly,3627,3734,107,1,2002,EPIC Institute of Technology Round August 2024 (Div. 1 + Div. 2)
Radewoosh,3582,3646,64,2,2002,EPIC Institute of Technology Round August 2024 (Div. 1 + Div. 2)
Benq,3586,3620,34,3,2002,EPIC Institute of Technology Round August 2024 (Div. 1 + Div. 2)
Um_nik,3252,3354,102,4,2002,EPIC Institute of Technology Round August 2024 (Div. 1 + Div. 2)
maspy,2971,3127,156,5,2002,EPIC Institute of Technology Round August 2024 (Div. 1 + Div. 2)
Nachia,2967,3111,144,6,2002,EPIC Institute of Technology Round August 2024 (Div. 1 + Div. 2)
ksun48,3474,3479,5,7,2002,EPIC Institute of Technology Round August 2024 (Div. 1 + Div. 2)
Ormlis,3102,3192,90,8,2002,EPIC Institute of Technology Round August 2024 (Div. 1 + Div. 2)
furry,2749,2921,172,9,2002,EPIC Institute of Technology Round August 2024 (Div. 1 + Div. 2)
kiwihadron,3018,3114,96,10,2002,EPIC Institute of Technology Round August 2024 (Div. 1 + Div. 2)
ecnerwala,3654,3581,-73,11,2002,EPIC Institute of Technology Round August 2024 (Div. 1 + Div. 2)
squareOf105,2705,2869,164,12,2002,EPIC Institute of Technology Round August 2024 (Div. 1 + Div. 2)
gamegame,3406,3386,-20,13,2002,EPIC Institute of Technology Round August 2024 (Div. 1 + Div. 2)
LJC00118,3250,3264,14,14,2002,EPIC Institute of Technology Round August 2024 (Div. 1 + Div. 2)
StarSilk,2947,3033,86,15,2002,EPIC Institute of Technology Round August 2024 (Div. 1 + Div. 2)
VivaciousAubergine,3061,3114,53,16,2002,EPIC Institute of Technology Round August 2024 (Div. 1 + Div. 2)
Wuyanru,2569,2746,177,17,2002,EPIC Institute of Technology Round August 2024 (Div. 1 + Div. 2)
dorijanlendvaj,2948,3021,73,18,2002,EPIC Institute of Technology Round August 2024 (Div. 1 + Div. 2)
Peter-007,2343,2575,232,19,2002,EPIC Institute of Technology Round August 2024 (Div. 1 + Div. 2)
cmk666,2740,2860,120,20,2002,EPIC Institute of Technology Round August 2024 (Div. 1 + Div. 2)
BurnedChicken,3206,3204,-2,21,2002,EPIC Institute of Technology Round August 2024 (Div. 1 + Div. 2)
AgafonovArtem,2598,2750,152,22,2002,EPIC Institute of Technology Round August 2024 (Div. 1 + Div. 2)
maroonrk,3236,3220,-16,23,2002,EPIC Institute of Technology Round August 2024 (Div. 1 + Div. 2)
Zhouershan,2464,2646,182,24,2002,EPIC Institute of Technology Round August 2024 (Div. 1 + Div. 2)
Xylenox,2683,2803,120,25,2002,EPIC Institute of Technology Round August 2024 (Div. 1 + Div. 2)
-Eternity-,2896,2958,62,26,2002,EPIC Institute of Technology Round August 2024 (Div. 1 + Div. 2)
ppltn,2628,2757,129,27,2002,EPIC Institute of Technology Round August 2024 (Div. 1 + Div. 2)
defnotmee,2396,2586,190,28,2002,EPIC Institute of Technology Round August 2024 (Div. 1 + Div. 2)
RDDCCD,2702,2804,102,29,2002,EPIC Institute of Technology Round August 2024 (Div. 1 + Div. 2)
dog_of_Nesraychan,2688,2794,106,29,2002,EPIC Institute of Technology Round August 2024 (Div. 1 + Div. 2)
hank55663,2966,2998,32,31,2002,EPIC Institute of Technology Round August 2024 (Div. 1 + Div. 2)
neal,2942,2978,36,32,2002,EPIC Institute of Technology Round August 2024 (Div. 1 + Div. 2)
ugly2333,3270,3221,-49,33,2002,EPIC Institute of Technology Round August 2024 (Div. 1 + Div. 2)
Adam_GS,2837,2896,59,34,2002,EPIC Institute of Technology Round August 2024 (Div. 1 + Div. 2)
oleh1421,2762,2838,76,35,2002,EPIC Institute of Technology Round August 2024 (Div. 1 + Div. 2)
_Serge_,2529,2665,136,36,2002,EPIC Institute of Technology Round August 2024 (Div. 1 + Div. 2)
uwu,2473,2622,149,37,2002,EPIC Institute of Technology Round August 2024 (Div. 1 + Div. 2)
Kapt,2953,2974,21,38,2002,EPIC Institute of Technology Round August 2024 (Div. 1 + Div. 2)
zjy2008,2709,2791,82,39,2002,EPIC Institute of Technology Round August 2024 (Div. 1 + Div. 2)
A-SOUL_Bella,2852,2896,44,40,2002,EPIC Institute of Technology Round August 2024 (Div. 1 + Div. 2)
WiwiHo,2583,2695,112,41,2002,EPIC Institute of Technology Round August 2024 (Div. 1 + Div. 2)
marvinthang,2316,2499,183,42,2002,EPIC Institute of Technology Round August 2024 (Div. 1 + Div. 2)
gabrielwu,2598,2703,105,43,2002,EPIC Institute of Technology Round August 2024 (Div. 1 + Div. 2)
snuke,2970,2977,7,44,2002,EPIC Institute of Technology Round August 2024 (Div. 1 + Div. 2)
_Yuru_,2463,2601,138,45,2002,EPIC Institute of Technology Round August 2024 (Div. 1 + Div. 2)
Caiii,2329,2502,173,46,2002,EPIC Institute of Technology Round August 2024 (Div. 1 + Div. 2)
dXqwq,2986,2984,-2,47,2002,EPIC Institute of Technology Round August 2024 (Div. 1 + Div. 2)
Dominater069,2678,2754,76,48,2002,EPIC Institute of Technology Round August 2024 (Div. 1 + Div. 2)
0doO,2586,2685,99,49,2002,EPIC Institute of Technology Round August 2024 (Div. 1 + Div. 2)
KevinWan,2601,2693,92,50,2002,EPIC Institute of Technology Round August 2024 (Div. 1 + Div. 2)
ORzyzRO,2124,2347,223,50,2002,EPIC Institute of Technology Round August 2024 (Div. 1 + Div. 2)
ProjectCF,2487,2608,121,52,2002,EPIC Institute of Technology Round August 2024 (Div. 1 + Div. 2)
N_z__,2523,2633,110,53,2002,EPIC Institute of Technology Round August 2024 (Div. 1 + Div. 2)
dl720125,2839,2865,26,54,2002,EPIC Institute of Technology Round August 2024 (Div. 1 + Div. 2)
sleep__,2131,2347,216,55,2002,EPIC Institute of Technology Round August 2024 (Div. 1 + Div. 2)
ppavic,2694,2755,61,56,2002,EPIC Institute of Technology Round August 2024 (Div. 1 + Div. 2)
YoshikaMiyafuji,2538,2639,101,57,2002,EPIC Institute of Technology Round August 2024 (Div. 1 + Div. 2)
Sana,2836,2858,22,58,2002,EPIC Institute of Technology Round August 2024 (Div. 1 + Div. 2)
lexiyvv,2589,2674,85,59,2002,EPIC Institute of Technology Round August 2024 (Div. 1 + Div. 2)
LuCpp,2616,2692,76,60,2002,EPIC Institute of Technology Round August 2024 (Div. 1 + Div. 2)
Sugar_fan,2916,2914,-2,61,2002,EPIC Institute of Technology Round August 2024 (Div. 1 + Div. 2)
BEAR0131,2622,2695,73,62,2002,EPIC Institute of Technology Round August 2024 (Div. 1 + Div. 2)
Linx,2313,2467,154,63,2002,EPIC Institute of Technology Round August 2024 (Div. 1 + Div. 2)
siganai,2474,2583,109,64,2002,EPIC Institute of Technology Round August 2024 (Div. 1 + Div. 2)
hos.lyric,3286,3187,-99,65,2002,EPIC Institute of Technology Round August 2024 (Div. 1 + Div. 2)
Nyaan,2744,2781,37,66,2002,EPIC Institute of Technology Round August 2024 (Div. 1 + Div. 2)
klimoza,2344,2485,141,67,2002,EPIC Institute of Technology Round August 2024 (Div. 1 + Div. 2)
HollwoQ_Pelw,2305,2456,151,68,2002,EPIC Institute of Technology Round August 2024 (Div. 1 + Div. 2)
Virv,2169,2357,188,69,2002,EPIC Institute of Technology Round August 2024 (Div. 1 + Div. 2)
hzr,2804,2821,17,70,2002,EPIC Institute of Technology Round August 2024 (Div. 1 + Div. 2)
Faruzan,2555,2635,80,71,2002,EPIC Institute of Technology Round August 2024 (Div. 1 + Div. 2)
ahihi1234,2365,2495,130,72,2002,EPIC Institute of Technology Round August 2024 (Div. 1 + Div. 2)
jeroenodb,2730,2763,33,73,2002,EPIC Institute of Technology Round August 2024 (Div. 1 + Div. 2)
rin204,2886,2878,-8,74,2002,EPIC Institute of Technology Round August 2024 (Div. 1 + Div. 2)
Ronnie007,2454,2557,103,75,2002,EPIC Institute of Technology Round August 2024 (Div. 1 + Div. 2)
Tlatoani,2845,2846,1,76,2002,EPIC Institute of Technology Round August 2024 (Div. 1 + Div. 2)
Hello_whk,908,1545,637,77,2002,EPIC Institute of Technology Round August 2024 (Div. 1 + Div. 2)
dogEW,2352,2480,128,78,2002,EPIC Institute of Technology Round August 2024 (Div. 1 + Div. 2)
SATSKY_2025target_LGM,2386,2503,117,79,2002,EPIC Institute of Technology Round August 2024 (Div. 1 + Div. 2)
CJ_xde_lt,2594,2656,62,80,2002,EPIC Institute of Technology Round August 2024 (Div. 1 + Div. 2)
LHiC,2903,2885,-18,81,2002,EPIC Institute of Technology Round August 2024 (Div. 1 + Div. 2)
darkkcyan,2310,2445,135,82,2002,EPIC Institute of Technology Round August 2024 (Div. 1 + Div. 2)
Nobody.Emissary,2284,2462,178,83,2002,EPIC Institute of Technology Round August 2024 (Div. 1 + Div. 2)
