handle,old_rating,new_rating,change,rank,contest_id,contest_name
Ihave4fish,1764,2149,385,1,2004,Educational Codeforces Round 169 (Rated for Div. 2)
yogzinhoo,2041,2307,266,2,2004,Educational Codeforces Round 169 (Rated for Div. 2)
Iingfunny,1956,2229,273,3,2004,Educational Codeforces Round 169 (Rated for Div. 2)
fireinferno,1977,2230,253,4,2004,Educational Codeforces Round 169 (Rated for Div. 2)
cccrrrkkk,1929,2222,293,5,2004,Educational Codeforces Round 169 (Rated for Div. 2)
wsc2008qwq,2068,2269,201,6,2004,Educational Codeforces Round 169 (Rated for Div. 2)
LiuXingJian,2099,2291,192,6,2004,Educational Codeforces Round 169 (Rated for Div. 2)
daukah,2077,2269,192,8,2004,Educational Codeforces Round 169 (Rated for Div. 2)
nuo0918,1681,2046,365,9,2004,Educational Codeforces Round 169 (Rated for Div. 2)
lycc,2070,2254,184,10,2004,Educational Codeforces Round 169 (Rated for Div. 2)
bcollet,1901,2128,227,11,2004,Educational Codeforces Round 169 (Rated for Div. 2)
cockatooo_2025GM,2038,2223,185,11,2004,Educational Codeforces Round 169 (Rated for Div. 2)
n00bie_101,1647,1954,307,13,2004,Educational Codeforces Round 169 (Rated for Div. 2)
tyristik,2039,2216,177,14,2004,Educational Codeforces Round 169 (Rated for Div. 2)
weakpyt,1808,2054,246,15,2004,Educational Codeforces Round 169 (Rated for Div. 2)
Cauchy1214,1844,2129,285,16,2004,Educational Codeforces Round 169 (Rated for Div. 2)
amongusigma,1697,2028,331,17,2004,Educational Codeforces Round 169 (Rated for Div. 2)
imjqaq,1283,1762,479,18,2004,Educational Codeforces Round 169 (Rated for Div. 2)
SirTechnical,1908,2111,203,19,2004,Educational Codeforces Round 169 (Rated for Div. 2)
kuzmichev_dima,2045,2202,157,20,2004,Educational Codeforces Round 169 (Rated for Div. 2)
Shuishui_0921,2070,2220,150,20,2004,Educational Codeforces Round 169 (Rated for Div. 2)
Misty7,2006,2172,166,22,2004,Educational Codeforces Round 169 (Rated for Div. 2)
Soultaker,2113,2246,133,23,2004,Educational Codeforces Round 169 (Rated for Div. 2)
Cathaya,1124,1642,518,24,2004,Educational Codeforces Round 169 (Rated for Div. 2)
0xZero,1825,2095,270,25,2004,Educational Codeforces Round 169 (Rated for Div. 2)
nunu03,2092,2225,133,26,2004,Educational Codeforces Round 169 (Rated for Div. 2)
Long_Chen,717,1349,632,27,2004,Educational Codeforces Round 169 (Rated for Div. 2)
Geblus,2063,2235,172,28,2004,Educational Codeforces Round 169 (Rated for Div. 2)
baIIpoint_pen,1902,2087,185,28,2004,Educational Codeforces Round 169 (Rated for Div. 2)
20060702,1925,2101,176,30,2004,Educational Codeforces Round 169 (Rated for Div. 2)
myoi0905,1857,2053,196,31,2004,Educational Codeforces Round 169 (Rated for Div. 2)
undisputed42,1921,2151,230,32,2004,Educational Codeforces Round 169 (Rated for Div. 2)
zhouyeyeah,814,1424,610,33,2004,Educational Codeforces Round 169 (Rated for Div. 2)
Etohari,1255,1657,402,33,2004,Educational Codeforces Round 169 (Rated for Div. 2)
Astatinear,2087,2208,121,35,2004,Educational Codeforces Round 169 (Rated for Div. 2)
Kareem_Elgoker,1882,2063,181,36,2004,Educational Codeforces Round 169 (Rated for Div. 2)
bemyqueenkong,1928,2158,230,37,2004,Educational Codeforces Round 169 (Rated for Div. 2)
disenchanted_,1637,1948,311,38,2004,Educational Codeforces Round 169 (Rated for Div. 2)
coder_supreme,2086,2202,116,39,2004,Educational Codeforces Round 169 (Rated for Div. 2)
ddxrS,1984,2129,145,40,2004,Educational Codeforces Round 169 (Rated for Div. 2)
hamo21,1941,2097,156,41,2004,Educational Codeforces Round 169 (Rated for Div. 2)
CreamHao,1686,1922,236,42,2004,Educational Codeforces Round 169 (Rated for Div. 2)
rxgt,0,833,833,43,2004,Educational Codeforces Round 169 (Rated for Div. 2)
StayAlone,1862,2040,178,44,2004,Educational Codeforces Round 169 (Rated for Div. 2)
KickingKun,1665,1906,241,45,2004,Educational Codeforces Round 169 (Rated for Div. 2)
gyydp123_LIM,1308,1735,427,46,2004,Educational Codeforces Round 169 (Rated for Div. 2)
Rayo,1913,2072,159,47,2004,Educational Codeforces Round 169 (Rated for Div. 2)
jmyszka,2024,2149,125,48,2004,Educational Codeforces Round 169 (Rated for Div. 2)
LiHn,2010,2138,128,49,2004,Educational Codeforces Round 169 (Rated for Div. 2)
omsincoconut,1966,2106,140,50,2004,Educational Codeforces Round 169 (Rated for Div. 2)
dutin,1660,1896,236,51,2004,Educational Codeforces Round 169 (Rated for Div. 2)
ThMinh_,1861,2031,170,52,2004,Educational Codeforces Round 169 (Rated for Div. 2)
_minhduccp,1944,2088,144,53,2004,Educational Codeforces Round 169 (Rated for Div. 2)
