handle,old_rating,new_rating,change,rank,contest_id,contest_name
zfmdhy786,2045,2333,288,1,2020,Codeforces Round 976 (Div. 2) and Divide By Zero 9.0
duplication,0,977,977,2,2020,Codeforces Round 976 (Div. 2) and Divide By Zero 9.0
nguyentunglam,2074,2322,248,3,2020,Codeforces Round 976 (Div. 2) and Divide By Zero 9.0
4977,2084,2311,227,4,2020,Codeforces Round 976 (Div. 2) and Divide By Zero 9.0
ishivams,1693,2032,339,5,2020,Codeforces Round 976 (Div. 2) and Divide By Zero 9.0
Octagons,2065,2274,209,6,2020,Codeforces Round 976 (Div. 2) and Divide By Zero 9.0
d_k_d,1994,2216,222,7,2020,Codeforces Round 976 (Div. 2) and Divide By Zero 9.0
houum,0,912,912,8,2020,Codeforces Round 976 (Div. 2) and Divide By Zero 9.0
balakrishnan,1782,2065,283,9,2020,Codeforces Round 976 (Div. 2) and Divide By Zero 9.0
4-9,995,1604,609,10,2020,Codeforces Round 976 (Div. 2) and Divide By Zero 9.0
lvovkir,2098,2271,173,11,2020,Codeforces Round 976 (Div. 2) and Divide By Zero 9.0
yaoyanfeng,1756,2064,308,12,2020,Codeforces Round 976 (Div. 2) and Divide By Zero 9.0
jmyszka,2095,2259,164,13,2020,Codeforces Round 976 (Div. 2) and Divide By Zero 9.0
Maximka,1715,1991,276,14,2020,Codeforces Round 976 (Div. 2) and Divide By Zero 9.0
Abito,1977,2169,192,14,2020,Codeforces Round 976 (Div. 2) and Divide By Zero 9.0
Dragokj03,2050,2216,166,16,2020,Codeforces Round 976 (Div. 2) and Divide By Zero 9.0
ahmetalp,1837,2066,229,17,2020,Codeforces Round 976 (Div. 2) and Divide By Zero 9.0
Midnights,1493,1902,409,18,2020,Codeforces Round 976 (Div. 2) and Divide By Zero 9.0
daiarineko,1939,2130,191,18,2020,Codeforces Round 976 (Div. 2) and Divide By Zero 9.0
Auroraaa_,1910,2142,232,20,2020,Codeforces Round 976 (Div. 2) and Divide By Zero 9.0
MonchIkPonch,1341,1774,433,21,2020,Codeforces Round 976 (Div. 2) and Divide By Zero 9.0
bit-2-coder,2038,2191,153,22,2020,Codeforces Round 976 (Div. 2) and Divide By Zero 9.0
Jlyfish,2018,2175,157,23,2020,Codeforces Round 976 (Div. 2) and Divide By Zero 9.0
sjhi00,1948,2124,176,24,2020,Codeforces Round 976 (Div. 2) and Divide By Zero 9.0
deoxys1087,1792,2073,281,25,2020,Codeforces Round 976 (Div. 2) and Divide By Zero 9.0
shiven,2086,2217,131,26,2020,Codeforces Round 976 (Div. 2) and Divide By Zero 9.0
ponjuice,834,1422,588,27,2020,Codeforces Round 976 (Div. 2) and Divide By Zero 9.0
Dinprosperity,2015,2163,148,28,2020,Codeforces Round 976 (Div. 2) and Divide By Zero 9.0
LucaLucaM,1987,2141,154,29,2020,Codeforces Round 976 (Div. 2) and Divide By Zero 9.0
TrendBattles,2001,2149,148,30,2020,Codeforces Round 976 (Div. 2) and Divide By Zero 9.0
d3press3d,1933,2100,167,31,2020,Codeforces Round 976 (Div. 2) and Divide By Zero 9.0
tanaygad,2099,2216,117,32,2020,Codeforces Round 976 (Div. 2) and Divide By Zero 9.0
FUTURE2009,1573,1906,333,33,2020,Codeforces Round 976 (Div. 2) and Divide By Zero 9.0
DilshodbekX,1993,2138,145,34,2020,Codeforces Round 976 (Div. 2) and Divide By Zero 9.0
duntsova2024,1819,2016,197,35,2020,Codeforces Round 976 (Div. 2) and Divide By Zero 9.0
myx12345,1636,1892,256,36,2020,Codeforces Round 976 (Div. 2) and Divide By Zero 9.0
whyalwaysmezzz,1978,2123,145,37,2020,Codeforces Round 976 (Div. 2) and Divide By Zero 9.0
chengjiaohu,0,832,832,38,2020,Codeforces Round 976 (Div. 2) and Divide By Zero 9.0
jay_jayjay,2051,2173,122,38,2020,Codeforces Round 976 (Div. 2) and Divide By Zero 9.0
heidiheize,2064,2181,117,40,2020,Codeforces Round 976 (Div. 2) and Divide By Zero 9.0
ton,1979,2119,140,41,2020,Codeforces Round 976 (Div. 2) and Divide By Zero 9.0
EthanKim8683,2009,2139,130,42,2020,Codeforces Round 976 (Div. 2) and Divide By Zero 9.0
waiting_for_the_sunset,1674,1909,235,43,2020,Codeforces Round 976 (Div. 2) and Divide By Zero 9.0
muxingchengfeng,1991,2124,133,44,2020,Codeforces Round 976 (Div. 2) and Divide By Zero 9.0
Meraki14,1788,2017,229,45,2020,Codeforces Round 976 (Div. 2) and Divide By Zero 9.0
tanaka255,1776,1974,198,46,2020,Codeforces Round 976 (Div. 2) and Divide By Zero 9.0
CaveNightingale,1880,2043,163,47,2020,Codeforces Round 976 (Div. 2) and Divide By Zero 9.0
ArsenGotov,2082,2185,103,48,2020,Codeforces Round 976 (Div. 2) and Divide By Zero 9.0
The_Hallak,2077,2180,103,49,2020,Codeforces Round 976 (Div. 2) and Divide By Zero 9.0
ucirvine,1692,1968,276,50,2020,Codeforces Round 976 (Div. 2) and Divide By Zero 9.0
too_rusty,1971,2103,132,51,2020,Codeforces Round 976 (Div. 2) and Divide By Zero 9.0
ETO-leader,0,816,816,52,2020,Codeforces Round 976 (Div. 2) and Divide By Zero 9.0
Kripton2005,1827,2002,175,53,2020,Codeforces Round 976 (Div. 2) and Divide By Zero 9.0
CakeyRoadToIOI,862,1407,545,54,2020,Codeforces Round 976 (Div. 2) and Divide By Zero 9.0
N.E.R.O,1990,2113,123,55,2020,Codeforces Round 976 (Div. 2) and Divide By Zero 9.0
L2_team,1945,2147,202,56,2020,Codeforces Round 976 (Div. 2) and Divide By Zero 9.0
Badint,2091,2182,91,57,2020,Codeforces Round 976 (Div. 2) and Divide By Zero 9.0
wanxin,2097,2187,90,57,2020,Codeforces Round 976 (Div. 2) and Divide By Zero 9.0
BladeRunner,2079,2173,94,59,2020,Codeforces Round 976 (Div. 2) and Divide By Zero 9.0
Hyffff,1183,1631,448,60,2020,Codeforces Round 976 (Div. 2) and Divide By Zero 9.0
andrewtt,2009,2121,112,61,2020,Codeforces Round 976 (Div. 2) and Divide By Zero 9.0
shikgom,1950,2079,129,62,2020,Codeforces Round 976 (Div. 2) and Divide By Zero 9.0
LeonardSchulman,1637,1865,228,63,2020,Codeforces Round 976 (Div. 2) and Divide By Zero 9.0
Teddiursa,2036,2138,102,64,2020,Codeforces Round 976 (Div. 2) and Divide By Zero 9.0
5phInX,1680,1891,211,65,2020,Codeforces Round 976 (Div. 2) and Divide By Zero 9.0
chota_v1p3r,1654,1872,218,66,2020,Codeforces Round 976 (Div. 2) and Divide By Zero 9.0
Pols_Agyi_Pols,2098,2180,82,66,2020,Codeforces Round 976 (Div. 2) and Divide By Zero 9.0
yuvrajKharayat,2070,2159,89,68,2020,Codeforces Round 976 (Div. 2) and Divide By Zero 9.0
_AhmedKamal_,1863,2012,149,69,2020,Codeforces Round 976 (Div. 2) and Divide By Zero 9.0
sunzz3183,1865,2013,148,69,2020,Codeforces Round 976 (Div. 2) and Divide By Zero 9.0
Max-324,1598,1882,284,71,2020,Codeforces Round 976 (Div. 2) and Divide By Zero 9.0
second_idiot,1872,2016,144,72,2020,Codeforces Round 976 (Div. 2) and Divide By Zero 9.0
ItHappends,0,798,798,73,2020,Codeforces Round 976 (Div. 2) and Divide By Zero 9.0
blitztage,2096,2174,78,74,2020,Codeforces Round 976 (Div. 2) and Divide By Zero 9.0
nocap,1705,1901,196,75,2020,Codeforces Round 976 (Div. 2) and Divide By Zero 9.0
GStnt,1937,2060,123,76,2020,Codeforces Round 976 (Div. 2) and Divide By Zero 9.0
ashishc1,1770,1943,173,77,2020,Codeforces Round 976 (Div. 2) and Divide By Zero 9.0
dog_of_SoloRejudger,1961,2075,114,77,2020,Codeforces Round 976 (Div. 2) and Divide By Zero 9.0
p__ce1052,1998,2101,103,79,2020,Codeforces Round 976 (Div. 2) and Divide By Zero 9.0
buidangnguyen05,1967,2077,110,80,2020,Codeforces Round 976 (Div. 2) and Divide By Zero 9.0
