party,rank,points,penalty,successfulHackCount,unsuccessfulHackCount,problemResults
"{'contestId': 2020, 'participantId': 193060364, 'members': [{'handle': 'zfmdhy786'}], 'participantType': 'CONTESTANT', 'ghost': False, 'room': 526, 'startTimeSeconds': 1727624100}",1,6563.0,0,0,0,"[{'points': 498.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 78}, {'points': 608.0, 'rejectedAttemptCount': 2, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 848}, {'points': 1090.0, 'rejectedAttemptCount': 1, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 1339}, {'points': 1332.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 1686}, {'points': 1672.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 2487}, {'points': 1363.0, 'rejectedAttemptCount': 2, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 7042}]"
"{'contestId': 2020, 'participantId': 193076856, 'members': [{'handle': 'duplication'}], 'participantType': 'CONTESTANT', 'ghost': False, 'room': 546, 'startTimeSeconds': 1727624100}",2,6547.0,0,0,0,"[{'points': 496.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 166}, {'points': 684.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 1326}, {'points': 1175.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 904}, {'points': 1326.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 1749}, {'points': 1464.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 4026}, {'points': 1402.0, 'rejectedAttemptCount': 1, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 7089}]"
"{'contestId': 2020, 'participantId': 192974259, 'members': [{'handle': 'nguyentunglam'}], 'participantType': 'CONTESTANT', 'ghost': False, 'room': 696, 'startTimeSeconds': 1727624100}",3,6387.0,0,0,0,"[{'points': 452.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 1440}, {'points': 548.0, 'rejectedAttemptCount': 2, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 2051}, {'points': 1015.0, 'rejectedAttemptCount': 1, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 2227}, {'points': 1252.0, 'rejectedAttemptCount': 1, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 1981}, {'points': 1824.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 1349}, {'points': 1296.0, 'rejectedAttemptCount': 4, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 6889}]"
"{'contestId': 2020, 'participantId': 193070669, 'members': [{'handle': '4977'}], 'participantType': 'CONTESTANT', 'ghost': False, 'room': 308, 'startTimeSeconds': 1727624100}",4,5645.0,0,0,0,"[{'points': 498.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 79}, {'points': 741.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 194}, {'points': 1210.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 520}, {'points': 1404.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 967}, {'points': 1792.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 1583}, {'points': 0.0, 'rejectedAttemptCount': 0, 'type': 'FINAL'}]"
"{'contestId': 2020, 'participantId': 193063502, 'members': [{'handle': 'ishivams'}], 'participantType': 'CONTESTANT', 'ghost': False, 'room': 687, 'startTimeSeconds': 1727624100}",5,5579.0,0,0,0,"[{'points': 494.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 200}, {'points': 673.0, 'rejectedAttemptCount': 1, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 583}, {'points': 1210.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 509}, {'points': 1354.0, 'rejectedAttemptCount': 1, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 961}, {'points': 1848.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 1150}, {'points': 0.0, 'rejectedAttemptCount': 4, 'type': 'FINAL'}]"
"{'contestId': 2020, 'participantId': 192920434, 'members': [{'handle': 'Octagons'}], 'participantType': 'CONTESTANT', 'ghost': False, 'room': 670, 'startTimeSeconds': 1727624100}",6,5511.0,0,0,0,"[{'points': 438.0, 'rejectedAttemptCount': 1, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 365}, {'points': 738.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 243}, {'points': 1205.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 599}, {'points': 1386.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 1167}, {'points': 1744.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 1979}, {'points': 0.0, 'rejectedAttemptCount': 0, 'type': 'FINAL'}]"
"{'contestId': 2020, 'participantId': 193078259, 'members': [{'handle': 'd_k_d'}], 'participantType': 'CONTESTANT', 'ghost': False, 'room': 150, 'startTimeSeconds': 1727624100}",7,5481.0,0,0,0,"[{'points': 498.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 107}, {'points': 738.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 297}, {'points': 1215.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 439}, {'points': 1294.0, 'rejectedAttemptCount': 1, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 1569}, {'points': 1736.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 2005}, {'points': 0.0, 'rejectedAttemptCount': 0, 'type': 'FINAL'}]"
"{'contestId': 2020, 'participantId': 193081197, 'members': [{'handle': 'houum'}], 'participantType': 'CONTESTANT', 'ghost': False, 'room': 515, 'startTimeSeconds': 1727624100}",8,5452.0,0,0,0,"[{'points': 480.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 643}, {'points': 720.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 623}, {'points': 1200.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 652}, {'points': 1356.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 1491}, {'points': 1696.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 2330}, {'points': 0.0, 'rejectedAttemptCount': 0, 'type': 'FINAL'}]"
"{'contestId': 2020, 'participantId': 192652998, 'members': [{'handle': 'balakrishnan'}], 'participantType': 'CONTESTANT', 'ghost': False, 'room': 625, 'startTimeSeconds': 1727624100}",9,5406.0,0,0,0,"[{'points': 498.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 92}, {'points': 735.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 351}, {'points': 1195.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 702}, {'points': 1338.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 1649}, {'points': 1640.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 2730}, {'points': 0.0, 'rejectedAttemptCount': 0, 'type': 'FINAL'}]"
"{'contestId': 2020, 'participantId': 193057680, 'members': [{'handle': '4-9'}], 'participantType': 'CONTESTANT', 'ghost': False, 'room': 24, 'startTimeSeconds': 1727624100}",10,5384.0,0,0,0,"[{'points': 496.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 129}, {'points': 732.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 366}, {'points': 1190.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 763}, {'points': 1350.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 1533}, {'points': 1616.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 2884}, {'points': 0.0, 'rejectedAttemptCount': 0, 'type': 'FINAL'}]"
"{'contestId': 2020, 'participantId': 193013840, 'members': [{'handle': 'lvovkir'}], 'participantType': 'CONTESTANT', 'ghost': False, 'room': 706, 'startTimeSeconds': 1727624100}",11,5378.0,0,0,0,"[{'points': 494.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 186}, {'points': 649.0, 'rejectedAttemptCount': 1, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 1069}, {'points': 1035.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 2589}, {'points': 1416.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 879}, {'points': 1784.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 1652}, {'points': 0.0, 'rejectedAttemptCount': 0, 'type': 'FINAL'}]"
"{'contestId': 2020, 'participantId': 193068133, 'members': [{'handle': 'yaoyanfeng'}], 'participantType': 'CONTESTANT', 'ghost': False, 'room': 582, 'startTimeSeconds': 1727624100}",12,5332.0,0,0,0,"[{'points': 494.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 239}, {'points': 720.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 621}, {'points': 1180.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 894}, {'points': 1314.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 1870}, {'points': 1624.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 2826}, {'points': 0.0, 'rejectedAttemptCount': 0, 'type': 'FINAL'}]"
"{'contestId': 2020, 'participantId': 192920949, 'members': [{'handle': 'jmyszka'}], 'participantType': 'CONTESTANT', 'ghost': False, 'room': 577, 'startTimeSeconds': 1727624100}",13,5327.0,0,0,0,"[{'points': 496.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 147}, {'points': 729.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 437}, {'points': 1120.0, 'rejectedAttemptCount': 1, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 997}, {'points': 1350.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 1555}, {'points': 1632.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 2818}, {'points': 0.0, 'rejectedAttemptCount': 0, 'type': 'FINAL'}]"
"{'contestId': 2020, 'participantId': 193058209, 'members': [{'handle': 'Maximka'}], 'participantType': 'CONTESTANT', 'ghost': False, 'room': 712, 'startTimeSeconds': 1727624100}",14,5326.0,0,0,0,"[{'points': 444.0, 'rejectedAttemptCount': 1, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 205}, {'points': 732.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 368}, {'points': 1110.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 1714}, {'points': 1416.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 871}, {'points': 1624.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 2871}, {'points': 0.0, 'rejectedAttemptCount': 0, 'type': 'FINAL'}]"
"{'contestId': 2020, 'participantId': 192645441, 'members': [{'handle': 'Abito'}], 'participantType': 'CONTESTANT', 'ghost': False, 'room': 218, 'startTimeSeconds': 1727624100}",14,5326.0,0,0,0,"[{'points': 498.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 90}, {'points': 732.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 391}, {'points': 1130.0, 'rejectedAttemptCount': 1, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 899}, {'points': 1326.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 1742}, {'points': 1640.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 2745}, {'points': 0.0, 'rejectedAttemptCount': 0, 'type': 'FINAL'}]"
"{'contestId': 2020, 'participantId': 192954705, 'members': [{'handle': 'Dragokj03'}], 'participantType': 'CONTESTANT', 'ghost': False, 'room': 530, 'startTimeSeconds': 1727624100}",16,5304.0,0,0,0,"[{'points': 442.0, 'rejectedAttemptCount': 1, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 256}, {'points': 732.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 397}, {'points': 1190.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 772}, {'points': 1308.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 1977}, {'points': 1632.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 2800}, {'points': 0.0, 'rejectedAttemptCount': 0, 'type': 'FINAL'}]"
"{'contestId': 2020, 'participantId': 192920565, 'members': [{'handle': 'ahmetalp'}], 'participantType': 'CONTESTANT', 'ghost': False, 'room': 132, 'startTimeSeconds': 1727624100}",17,5299.0,0,0,0,"[{'points': 498.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 107}, {'points': 726.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 535}, {'points': 1145.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 1283}, {'points': 1314.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 1909}, {'points': 1616.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 2881}, {'points': 0.0, 'rejectedAttemptCount': 0, 'type': 'FINAL'}]"
"{'contestId': 2020, 'participantId': 193065373, 'members': [{'handle': 'Midnights'}], 'participantType': 'CONTESTANT', 'ghost': False, 'room': 338, 'startTimeSeconds': 1727624100}",18,5298.0,0,0,0,"[{'points': 496.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 172}, {'points': 729.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 462}, {'points': 1105.0, 'rejectedAttemptCount': 1, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 1177}, {'points': 1344.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 1607}, {'points': 1624.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 2871}, {'points': 0.0, 'rejectedAttemptCount': 0, 'type': 'FINAL'}]"
"{'contestId': 2020, 'participantId': 193079754, 'members': [{'handle': 'daiarineko'}], 'participantType': 'CONTESTANT', 'ghost': False, 'room': 369, 'startTimeSeconds': 1727624100}",18,5298.0,0,0,0,"[{'points': 498.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 96}, {'points': 717.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 672}, {'points': 1165.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 1045}, {'points': 1326.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 1755}, {'points': 1592.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 3103}, {'points': 0.0, 'rejectedAttemptCount': 0, 'type': 'FINAL'}]"
