handle,old_rating,new_rating,change,rank,contest_id,contest_name
Xun_Xiaoyao,1945,2266,321,1,2021,"Codeforces Round 977 (Div. 2, based on COMPFEST 16 - Final Round)"
Midnights,1902,2265,363,2,2021,"Codeforces Round 977 (Div. 2, based on COMPFEST 16 - Final Round)"
_ANIG,1893,2233,340,3,2021,"Codeforces Round 977 (Div. 2, based on COMPFEST 16 - Final Round)"
SoLX,2017,2286,269,4,2021,"Codeforces Round 977 (Div. 2, based on COMPFEST 16 - Final Round)"
TurtleZW,1910,2168,258,5,2021,"Codeforces Round 977 (Div. 2, based on COMPFEST 16 - Final Round)"
liujinrui,637,1367,730,6,2021,"Codeforces Round 977 (Div. 2, based on COMPFEST 16 - Final Round)"
wullaaa,1679,2032,353,7,2021,"Codeforces Round 977 (Div. 2, based on COMPFEST 16 - Final Round)"
cpy0512,1888,2131,243,8,2021,"Codeforces Round 977 (Div. 2, based on COMPFEST 16 - Final Round)"
hcywoi,1902,2135,233,9,2021,"Codeforces Round 977 (Div. 2, based on COMPFEST 16 - Final Round)"
_zmy_,1868,2107,239,10,2021,"Codeforces Round 977 (Div. 2, based on COMPFEST 16 - Final Round)"
_Joanna_,1989,2185,196,11,2021,"Codeforces Round 977 (Div. 2, based on COMPFEST 16 - Final Round)"
TruotVoi2025_ToT,1796,2050,254,12,2021,"Codeforces Round 977 (Div. 2, based on COMPFEST 16 - Final Round)"
Milkcat2009,1818,2061,243,13,2021,"Codeforces Round 977 (Div. 2, based on COMPFEST 16 - Final Round)"
Sai_tqwq,1460,1869,409,14,2021,"Codeforces Round 977 (Div. 2, based on COMPFEST 16 - Final Round)"
xcyyyyyy,1371,1769,398,15,2021,"Codeforces Round 977 (Div. 2, based on COMPFEST 16 - Final Round)"
Golem__,1891,2134,243,16,2021,"Codeforces Round 977 (Div. 2, based on COMPFEST 16 - Final Round)"
historical,1247,1734,487,17,2021,"Codeforces Round 977 (Div. 2, based on COMPFEST 16 - Final Round)"
Etavitsea,2053,2207,154,18,2021,"Codeforces Round 977 (Div. 2, based on COMPFEST 16 - Final Round)"
DerrickLo,2013,2176,163,19,2021,"Codeforces Round 977 (Div. 2, based on COMPFEST 16 - Final Round)"
