handle,old_rating,new_rating,change,rank,contest_id,contest_name
Benq,3620,3738,118,1,2029,Refact.ai Match 1 (Codeforces Round 985)
jiangly,3831,3823,-8,2,2029,Refact.ai Match 1 (Codeforces Round 985)
hos.lyric,3237,3349,112,3,2029,Refact.ai Match 1 (Codeforces Round 985)
Radewoosh,3646,3633,-13,4,2029,Refact.ai Match 1 (Codeforces Round 985)
arvindf232,3007,3139,132,5,2029,Refact.ai Match 1 (Codeforces Round 985)
Nachia,3151,3234,83,6,2029,Refact.ai Match 1 (Codeforces Round 985)
ksun48,3373,3390,17,7,2029,Refact.ai Match 1 (Codeforces Round 985)
Szoboszlai10,3083,3163,80,8,2029,Refact.ai Match 1 (Codeforces Round 985)
Endagorion,2911,3028,117,9,2029,Refact.ai Match 1 (Codeforces Round 985)
_Serge_,2665,2838,173,10,2029,Refact.ai Match 1 (Codeforces Round 985)
jiangbowen,3035,3106,71,11,2029,Refact.ai Match 1 (Codeforces Round 985)
maroonrk,3204,3226,22,12,2029,Refact.ai Match 1 (Codeforces Round 985)
kizen,2654,2812,158,13,2029,Refact.ai Match 1 (Codeforces Round 985)
244mhq,2968,3040,72,14,2029,Refact.ai Match 1 (Codeforces Round 985)
Ormlis,3168,3184,16,15,2029,Refact.ai Match 1 (Codeforces Round 985)
potato167,3093,3124,31,16,2029,Refact.ai Match 1 (Codeforces Round 985)
Flamire,2777,2885,108,17,2029,Refact.ai Match 1 (Codeforces Round 985)
TKT_YI,2666,2798,132,18,2029,Refact.ai Match 1 (Codeforces Round 985)
ainta,2782,2881,99,19,2029,Refact.ai Match 1 (Codeforces Round 985)
PinkieRabbit,2814,2901,87,20,2029,Refact.ai Match 1 (Codeforces Round 985)
Kapt,3072,3089,17,21,2029,Refact.ai Match 1 (Codeforces Round 985)
Karuna,2917,2971,54,22,2029,Refact.ai Match 1 (Codeforces Round 985)
ppavic,2755,2847,92,23,2029,Refact.ai Match 1 (Codeforces Round 985)
PCTprobability,2850,2912,62,24,2029,Refact.ai Match 1 (Codeforces Round 985)
peltorator,2797,2873,76,24,2029,Refact.ai Match 1 (Codeforces Round 985)
ugly2333,3141,3127,-14,26,2029,Refact.ai Match 1 (Codeforces Round 985)
dreamoon_love_AA,2845,2903,58,27,2029,Refact.ai Match 1 (Codeforces Round 985)
dog_of_Nesraychan,2859,2911,52,28,2029,Refact.ai Match 1 (Codeforces Round 985)
ko_osaga,3136,3116,-20,29,2029,Refact.ai Match 1 (Codeforces Round 985)
heuristica,3320,3251,-69,30,2029,Refact.ai Match 1 (Codeforces Round 985)
bashkort,2868,2911,43,31,2029,Refact.ai Match 1 (Codeforces Round 985)
rqoi031,2573,2690,117,32,2029,Refact.ai Match 1 (Codeforces Round 985)
Rubikun,2995,3001,6,33,2029,Refact.ai Match 1 (Codeforces Round 985)
rin204,2754,2820,66,34,2029,Refact.ai Match 1 (Codeforces Round 985)
Petr,3127,3096,-31,35,2029,Refact.ai Match 1 (Codeforces Round 985)
cn449,2553,2666,113,36,2029,Refact.ai Match 1 (Codeforces Round 985)
dorijanlendvaj,3049,3034,-15,37,2029,Refact.ai Match 1 (Codeforces Round 985)
ComPhyPark,2258,2448,190,38,2029,Refact.ai Match 1 (Codeforces Round 985)
le0n,2892,2913,21,39,2029,Refact.ai Match 1 (Codeforces Round 985)
hxhhxh,2464,2594,130,40,2029,Refact.ai Match 1 (Codeforces Round 985)
Forested,2829,2862,33,41,2029,Refact.ai Match 1 (Codeforces Round 985)
A_G,2887,2904,17,42,2029,Refact.ai Match 1 (Codeforces Round 985)
Mapakaka,2686,2753,67,43,2029,Refact.ai Match 1 (Codeforces Round 985)
antontrygubO_o,2764,2809,45,44,2029,Refact.ai Match 1 (Codeforces Round 985)
Brovko,2730,2782,52,45,2029,Refact.ai Match 1 (Codeforces Round 985)
ansisgustavs2,2232,2416,184,46,2029,Refact.ai Match 1 (Codeforces Round 985)
BurnedChicken,3105,3060,-45,47,2029,Refact.ai Match 1 (Codeforces Round 985)
matchalover,847,1662,815,48,2029,Refact.ai Match 1 (Codeforces Round 985)
jason_sun,2670,2731,61,49,2029,Refact.ai Match 1 (Codeforces Round 985)
neal,2900,2902,2,50,2029,Refact.ai Match 1 (Codeforces Round 985)
trybetter,2248,2420,172,51,2029,Refact.ai Match 1 (Codeforces Round 985)
kotatsugame,3042,3006,-36,52,2029,Refact.ai Match 1 (Codeforces Round 985)
cxm1024,2584,2662,78,53,2029,Refact.ai Match 1 (Codeforces Round 985)
dyppp,2338,2480,142,54,2029,Refact.ai Match 1 (Codeforces Round 985)
