handle,old_rating,new_rating,change,rank,contest_id,contest_name
RGB_ICPC3,1952,2260,308,1,2030,Codeforces Round 979 (Div. 2)
HugeWide,1923,2209,286,2,2030,Codeforces Round 979 (Div. 2)
qarakusi_am,1248,1806,558,3,2030,Codeforces Round 979 (Div. 2)
xingyu_xuan,723,1427,704,4,2030,Codeforces Round 979 (Div. 2)
Silver_Fox,2060,2263,203,5,2030,Codeforces Round 979 (Div. 2)
Random_is_perfect,1876,2180,304,6,2030,Codeforces Round 979 (Div. 2)
xfxcy,1330,1822,492,7,2030,Codeforces Round 979 (Div. 2)
dimash1,2009,2205,196,8,2030,Codeforces Round 979 (Div. 2)
LYH.cpp,2043,2224,181,9,2030,Codeforces Round 979 (Div. 2)
Pentacontakaiheptagon,1846,2083,237,10,2030,Codeforces Round 979 (Div. 2)
top_tree,0,884,884,11,2030,Codeforces Round 979 (Div. 2)
magnuseifr,1982,2172,190,12,2030,Codeforces Round 979 (Div. 2)
bibra_eSports1,2016,2191,175,13,2030,Codeforces Round 979 (Div. 2)
Austin__Griffin,0,872,872,14,2030,Codeforces Round 979 (Div. 2)
ycx2010,2074,2229,155,15,2030,Codeforces Round 979 (Div. 2)
yishangtanhuan,1612,1962,350,16,2030,Codeforces Round 979 (Div. 2)
domjudge,0,862,862,17,2030,Codeforces Round 979 (Div. 2)
Justin666,1517,1894,377,18,2030,Codeforces Round 979 (Div. 2)
Xiaozzz,1930,2118,188,19,2030,Codeforces Round 979 (Div. 2)
ETO-leader,1359,1801,442,20,2030,Codeforces Round 979 (Div. 2)
trp_hy,2035,2186,151,21,2030,Codeforces Round 979 (Div. 2)
zeeman_piggy,1976,2142,166,22,2030,Codeforces Round 979 (Div. 2)
Lingying,2040,2185,145,23,2030,Codeforces Round 979 (Div. 2)
w2y51c318,1003,1537,534,24,2030,Codeforces Round 979 (Div. 2)
Muelsyse_sep006,1647,1965,318,25,2030,Codeforces Round 979 (Div. 2)
SussykinWantsNatalia,1673,1925,252,26,2030,Codeforces Round 979 (Div. 2)
liaoz123,2074,2200,126,26,2030,Codeforces Round 979 (Div. 2)
Shihaowen,1455,1828,373,28,2030,Codeforces Round 979 (Div. 2)
sword061,1760,1979,219,29,2030,Codeforces Round 979 (Div. 2)
Gendulf,1994,2138,144,30,2030,Codeforces Round 979 (Div. 2)
VinstaG173,1980,2127,147,31,2030,Codeforces Round 979 (Div. 2)
sashatorba12022008,1729,1953,224,32,2030,Codeforces Round 979 (Div. 2)
Bedoo,2019,2149,130,33,2030,Codeforces Round 979 (Div. 2)
altnant,1931,2088,157,33,2030,Codeforces Round 979 (Div. 2)
nocap,2040,2163,123,35,2030,Codeforces Round 979 (Div. 2)
ArvinCiu,2086,2194,108,36,2030,Codeforces Round 979 (Div. 2)
yjx120921,1888,2053,165,37,2030,Codeforces Round 979 (Div. 2)
huanchenawa,1880,2101,221,38,2030,Codeforces Round 979 (Div. 2)
sheep32768,1795,1987,192,39,2030,Codeforces Round 979 (Div. 2)
murder_drones,2061,2171,110,40,2030,Codeforces Round 979 (Div. 2)
Promise_,2037,2153,116,41,2030,Codeforces Round 979 (Div. 2)
AlienAre,1985,2150,165,42,2030,Codeforces Round 979 (Div. 2)
IanISam,2094,2191,97,43,2030,Codeforces Round 979 (Div. 2)
ibrm,1972,2103,131,44,2030,Codeforces Round 979 (Div. 2)
Aegleseekers,1186,1639,453,45,2030,Codeforces Round 979 (Div. 2)
juruoA,1882,2038,156,46,2030,Codeforces Round 979 (Div. 2)
i_am_mamba,0,810,810,47,2030,Codeforces Round 979 (Div. 2)
brute_forceCE,1987,2110,123,48,2030,Codeforces Round 979 (Div. 2)
Vu_CG_Coder,1833,2002,169,49,2030,Codeforces Round 979 (Div. 2)
fanythree,2017,2129,112,50,2030,Codeforces Round 979 (Div. 2)
SpinSpen,2010,2123,113,51,2030,Codeforces Round 979 (Div. 2)
Dt3DN32PG2,1571,1872,301,52,2030,Codeforces Round 979 (Div. 2)
VGZD,2081,2172,91,53,2030,Codeforces Round 979 (Div. 2)
Icelast,1905,2045,140,54,2030,Codeforces Round 979 (Div. 2)
Lol2004,2003,2114,111,54,2030,Codeforces Round 979 (Div. 2)
NuclearMint,1919,2054,135,56,2030,Codeforces Round 979 (Div. 2)
LoserL,2079,2167,88,57,2030,Codeforces Round 979 (Div. 2)
happy_node,2075,2163,88,58,2030,Codeforces Round 979 (Div. 2)
_p_a_r_s_a_1_3_,1993,2104,111,59,2030,Codeforces Round 979 (Div. 2)
skyhgzsh,1943,2068,125,60,2030,Codeforces Round 979 (Div. 2)
TianyiWei,2045,2139,94,61,2030,Codeforces Round 979 (Div. 2)
yz114514,1973,2087,114,62,2030,Codeforces Round 979 (Div. 2)
Peppa___Pig,2012,2114,102,63,2030,Codeforces Round 979 (Div. 2)
mujigae,1930,2055,125,64,2030,Codeforces Round 979 (Div. 2)
Trentium,1970,2082,112,65,2030,Codeforces Round 979 (Div. 2)
worldwideD,1878,2073,195,66,2030,Codeforces Round 979 (Div. 2)
Nalrimet,1898,2030,132,67,2030,Codeforces Round 979 (Div. 2)
MMJnini,1824,1978,154,68,2030,Codeforces Round 979 (Div. 2)
gs17005,1761,1934,173,69,2030,Codeforces Round 979 (Div. 2)
AST_TheCoder,1938,2056,118,70,2030,Codeforces Round 979 (Div. 2)
Ghulam_Junaid,1882,2016,134,71,2030,Codeforces Round 979 (Div. 2)
rama798,2021,2113,92,72,2030,Codeforces Round 979 (Div. 2)
L1s0run,1727,1961,234,73,2030,Codeforces Round 979 (Div. 2)
teekaytai,2098,2167,69,74,2030,Codeforces Round 979 (Div. 2)
xiaozengX,1914,2035,121,75,2030,Codeforces Round 979 (Div. 2)
Creeper_l,1953,2062,109,76,2030,Codeforces Round 979 (Div. 2)
gaga9999,481,1126,645,77,2030,Codeforces Round 979 (Div. 2)
Abd,1929,2044,115,78,2030,Codeforces Round 979 (Div. 2)
mydarlinggg,1231,1641,410,79,2030,Codeforces Round 979 (Div. 2)
gxd,1722,1900,178,80,2030,Codeforces Round 979 (Div. 2)
xjsgl654321,2021,2107,86,81,2030,Codeforces Round 979 (Div. 2)
great_fortune,1913,2030,117,82,2030,Codeforces Round 979 (Div. 2)
timerjiang,2044,2123,79,83,2030,Codeforces Round 979 (Div. 2)
dog_of_SoloRejudger,2075,2144,69,84,2030,Codeforces Round 979 (Div. 2)
MaGnsi0,1992,2084,92,85,2030,Codeforces Round 979 (Div. 2)
Max_Mayfield,0,777,777,86,2030,Codeforces Round 979 (Div. 2)
contee,0,776,776,87,2030,Codeforces Round 979 (Div. 2)
toilanvd_Nottingham,2030,2111,81,88,2030,Codeforces Round 979 (Div. 2)
lwm7708,2003,2091,88,89,2030,Codeforces Round 979 (Div. 2)
lemon8,2062,2133,71,90,2030,Codeforces Round 979 (Div. 2)
ollelapidus,1901,2017,116,91,2030,Codeforces Round 979 (Div. 2)
Dobata,923,1426,503,92,2030,Codeforces Round 979 (Div. 2)
big-baby-tape,727,1278,551,93,2030,Codeforces Round 979 (Div. 2)
mei-b,1590,1858,268,94,2030,Codeforces Round 979 (Div. 2)
concuuduoc,2101,2158,57,95,2030,Codeforces Round 979 (Div. 2)
masonpop,1965,2060,95,96,2030,Codeforces Round 979 (Div. 2)
The_Caspian_Sea,1930,2034,104,97,2030,Codeforces Round 979 (Div. 2)
Vitaly239239,1987,2074,87,98,2030,Codeforces Round 979 (Div. 2)
tfgs,1876,1995,119,99,2030,Codeforces Round 979 (Div. 2)
drpav,1818,1954,136,100,2030,Codeforces Round 979 (Div. 2)
areke,1935,2036,101,101,2030,Codeforces Round 979 (Div. 2)
Scalm,2015,2092,77,102,2030,Codeforces Round 979 (Div. 2)
zezoo.T,1716,1936,220,103,2030,Codeforces Round 979 (Div. 2)
page_fault,2050,2116,66,104,2030,Codeforces Round 979 (Div. 2)
MrPizza,1898,2008,110,105,2030,Codeforces Round 979 (Div. 2)
nuo0918,2034,2140,106,106,2030,Codeforces Round 979 (Div. 2)
Ivan_Kolosov,1974,2060,86,107,2030,Codeforces Round 979 (Div. 2)
Hoks_,2034,2103,69,108,2030,Codeforces Round 979 (Div. 2)
-Berry-,1821,1952,131,109,2030,Codeforces Round 979 (Div. 2)
Gheazedrokzoe,1734,1945,211,110,2030,Codeforces Round 979 (Div. 2)
ceciver,1720,1881,161,111,2030,Codeforces Round 979 (Div. 2)
Eggment_tree,1675,1850,175,112,2030,Codeforces Round 979 (Div. 2)
Mr_Ell,1875,1987,112,113,2030,Codeforces Round 979 (Div. 2)
ktq_cpp,1978,2059,81,114,2030,Codeforces Round 979 (Div. 2)
myzzym,1844,1965,121,114,2030,Codeforces Round 979 (Div. 2)
infCraft,2045,2107,62,116,2030,Codeforces Round 979 (Div. 2)
Byf23333,1793,1928,135,117,2030,Codeforces Round 979 (Div. 2)
749291,1696,1861,165,118,2030,Codeforces Round 979 (Div. 2)
mathiasgw,1824,1949,125,119,2030,Codeforces Round 979 (Div. 2)
shsh,1776,1915,139,120,2030,Codeforces Round 979 (Div. 2)
Sigh,1883,1989,106,121,2030,Codeforces Round 979 (Div. 2)
sdyzpf,2019,2086,67,122,2030,Codeforces Round 979 (Div. 2)
Hirasawa,1490,1720,230,123,2030,Codeforces Round 979 (Div. 2)
zenlog,2014,2081,67,124,2030,Codeforces Round 979 (Div. 2)
TheRaptor0225,2033,2095,62,124,2030,Codeforces Round 979 (Div. 2)
termal,1852,1965,113,126,2030,Codeforces Round 979 (Div. 2)
temporary1,2046,2103,57,127,2030,Codeforces Round 979 (Div. 2)
dmot,2058,2111,53,128,2030,Codeforces Round 979 (Div. 2)
mxqwp,1796,1925,129,129,2030,Codeforces Round 979 (Div. 2)
Alexxx,2033,2092,59,130,2030,Codeforces Round 979 (Div. 2)
youdu666,1920,2011,91,131,2030,Codeforces Round 979 (Div. 2)
Alliy666,2037,2095,58,132,2030,Codeforces Round 979 (Div. 2)
Lehe,1955,2035,80,133,2030,Codeforces Round 979 (Div. 2)
eimil,1328,1680,352,133,2030,Codeforces Round 979 (Div. 2)
