contestId,index,name,type,points,rating,tags
2034,A,King Keykhosrow's Mystery,PROGRAMMING,500.0,800,"['brute force', 'chinese remainder theorem', 'math', 'number theory']"
2034,B,Rakhsh's Revival,PROGRAMMING,750.0,1000,"['data structures', 'greedy', 'implementation', 'two pointers']"
2034,C,Trapped in the Witch's Labyrinth,PROGRAMMING,1500.0,1400,"['constructive algorithms', 'dfs and similar', 'graphs', 'implementation']"
2034,D,Darius' Wisdom,PROGRAMMING,1500.0,1600,"['constructive algorithms', 'greedy', 'implementation', 'sortings']"
2034,E,Permutations Harmony,PROGRAMMING,2000.0,2200,"['combinatorics', 'constructive algorithms', 'greedy', 'hashing', 'math']"
2034,F1,Khayyam's Royal Decree (Easy Version),PROGRAMMING,2000.0,2500,"['combinatorics', 'dp', 'math', 'sortings']"
2034,F2,Khayyam's Royal Decree (Hard Version),PROGRAMMING,2000.0,2800,"['combinatorics', 'dp', 'math', 'sortings']"
2034,G1,Simurgh's Watch (Easy Version),PROGRAMMING,3000.0,3500,"['constructive algorithms', 'greedy', 'implementation', 'sortings']"
2034,G2,Simurgh's Watch (Hard Version),PROGRAMMING,3000.0,3500,"['greedy', 'implementation']"
2034,H,Rayan vs. Rayaneh,PROGRAMMING,5000.0,3300,"['brute force', 'dfs and similar', 'dp', 'number theory']"
