handle,old_rating,new_rating,change,rank,contest_id,contest_name
orzdevinwang,3529,3707,178,1,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
tourist,4009,3993,-16,2,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
heuristica,3251,3397,146,3,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
Kevin114514,3341,3442,101,4,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
maspy,2949,3128,179,5,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
Radewoosh,3633,3627,-6,6,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
ksun48,3390,3434,44,7,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
jiangly,3823,3743,-80,8,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
cn449,2666,2873,207,9,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
maroonrk,3226,3284,58,10,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
244mhq,3040,3137,97,11,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
hhhgjyismine,2689,2869,180,12,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
le0n,2913,3030,117,13,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
qiuzx,2924,3033,109,14,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
Ormlis,3184,3222,38,15,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
xuanxuan001,2988,3070,82,16,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
kotatsugame,3006,3079,73,17,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
lexiyvv,2675,2828,153,18,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
jiangbowen,3106,3146,40,19,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
QwertyPi,2783,2901,118,20,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
ecnerwala,3446,3392,-54,21,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
A_G,2904,2984,80,22,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
RGB_ICPC1,2472,2660,188,23,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
grass8sheep,2728,2846,118,24,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
emptyhope,3127,3141,14,25,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
Tony2_CF,2405,2601,196,26,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
matchalover,1662,2160,498,27,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
Pyqe,2774,2869,95,28,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
Otomachi_Una,2645,2771,126,29,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
arvindf232,3139,3137,-2,30,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
hos.lyric,3349,3291,-58,31,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
BurnedChicken,3060,3073,13,32,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
-Eternity-,2971,3004,33,33,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
Hamed_Ghaffari,2371,2557,186,34,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
Fido_Puppy,2696,2794,98,35,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
Flamire,2885,2933,48,36,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
Benq,3738,3564,-174,37,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
potato167,3124,3108,-16,38,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
cmk666,2830,2886,56,39,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
ORzyzRO,2512,2648,136,40,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
taeyeon_ss,2540,2667,127,41,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
andrei_boaca,2531,2658,127,42,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
alireza_kaviani,2826,2876,50,43,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
Error_Yuan,2284,2474,190,44,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
Merripium,2636,2731,95,45,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
cxm1024,2662,2749,87,46,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
conqueror_of_tourist,3260,3194,-66,47,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
afuafu,2391,2545,154,48,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
Dominater069,2842,2878,36,49,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
Rubikun,3001,2996,-5,50,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
CaijiMK,2169,2415,246,51,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
zjy2008,2715,2779,64,51,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
BalintR,2748,2802,54,53,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
dl720125,2888,2906,18,54,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
PersistentLife,2648,2725,77,55,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
_lbw_,2693,2757,64,56,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
Golovanov399,2802,2837,35,57,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
harukanasora,2226,2470,244,58,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
Chinese_zjc_,2673,2738,65,59,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
bashkort,2911,2915,4,60,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
rin204,2820,2846,26,61,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
_acsm_,2464,2579,115,62,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
TRDOG,2296,2456,160,63,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
Z-301,2781,2813,32,64,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
Numbering,2545,2636,91,65,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
Zanite,2372,2507,135,66,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
RanRankeainie,2671,2727,56,67,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
Brovko,2782,2809,27,68,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
ainta,2881,2882,1,69,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
noimi,2962,2942,-20,70,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
Hell2Evator,2323,2466,143,71,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
w2y51c318,2277,2468,191,72,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
yuto1115,2857,2860,3,73,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
win114514,2461,2564,103,74,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
ugly2333,3127,3061,-66,75,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
sheyasutaka,1472,1949,477,76,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
qwef_,2545,2623,78,77,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
ParsaDox,2558,2632,74,78,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
OIer_kzc,2701,2737,36,79,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
risujiroh,2685,2724,39,80,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
SanguineChameleon,2716,2747,31,81,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
henotrix,2271,2418,147,82,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
NKheyuxiang,2436,2537,101,83,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
MeGustaElArroz23,2479,2568,89,84,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
piggy123,2435,2534,99,85,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
hxhhxh,2594,2651,57,86,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
Nityacke,2111,2299,188,87,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
leukocyte,2558,2623,65,87,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
Link_Cut_qwq,2285,2421,136,89,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
Midnights,2426,2523,97,90,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
lyx123886a123886,2325,2449,124,91,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
Vincella,1892,2202,310,92,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
siganai,2655,2691,36,93,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
xingyu_xuan,1427,1901,474,94,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
Gabp,2243,2386,143,95,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
Rosmontis,2138,2368,230,96,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
awu,2412,2507,95,97,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
Zhouershan,2572,2625,53,98,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
hyman00,2744,2753,9,99,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
JoesSR,3070,2997,-73,100,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
KroosTheKeenGlint,2548,2605,57,101,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
A_zjzj,2802,2794,-8,102,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
neal,2902,2868,-34,103,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
peti1234,3112,3025,-87,104,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
potatoo,2428,2513,85,105,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
vwxyz0,2288,2410,122,106,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
gyydp123_LIM,2315,2429,114,107,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
ningning,2151,2311,160,108,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
HIR180,2815,2799,-16,109,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
xuyifei1,2402,2490,88,110,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
emthrm,2478,2546,68,111,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
_Purslane_,2613,2645,32,112,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
anmichi,2616,2647,31,113,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
Nachia,3234,3109,-125,114,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
OtNlmOFx,700,1382,682,114,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
Markadiusz,2338,2439,101,116,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
Tlatoani,2658,2676,18,117,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
irkstepanov,2362,2456,94,118,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
Junz_LJL,2247,2372,125,119,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
Endagorion,3028,2952,-76,120,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
Miracle_Creater,1906,2191,285,121,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
Muelsyse,2462,2527,65,122,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
rniya,2649,2665,16,123,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
Sai_t,2401,2480,79,124,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
xianboyu,2536,2580,44,125,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
include_BM,2180,2319,139,126,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
feeder1,2513,2561,48,127,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
chinerist,2645,2659,14,128,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
sansen,2713,2709,-4,129,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
BreakPlus,2281,2389,108,130,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
H_stove,2684,2687,3,131,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
shiomusubi496,2909,2855,-54,132,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
elhoicyv,2237,2356,119,133,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
EasonTAO,2618,2636,18,134,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
fr200110217102,2280,2386,106,135,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
Rayo,2118,2269,151,136,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
asgcd,2442,2502,60,137,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
