handle,old_rating,new_rating,change,rank,contest_id,contest_name
jiangly,3741,3814,73,1,2048,Codeforces Global Round 28
turmax,3104,3276,172,2,2048,Codeforces Global Round 28
dorijanlendvaj,3034,3199,165,3,2048,Codeforces Global Round 28
ksun48,3489,3517,28,4,2048,Codeforces Global Round 28
hos.lyric,3349,3399,50,5,2048,Codeforces Global Round 28
Nachia,3109,3209,100,6,2048,Codeforces Global Round 28
strapple,2899,3046,147,7,2048,Codeforces Global Round 28
Ormlis,3088,3175,87,8,2048,Codeforces Global Round 28
maroonrk,3266,3299,33,9,2048,Codeforces Global Round 28
dXqwq,3188,3235,47,10,2048,Codeforces Global Round 28
_lbw_,2803,2947,144,11,2048,Codeforces Global Round 28
StarSilk,2950,3048,98,12,2048,Codeforces Global Round 28
xuanxuan001,3072,3132,60,13,2048,Codeforces Global Round 28
arvindf232,3127,3168,41,14,2048,Codeforces Global Round 28
Endagorion,2952,3035,83,15,2048,Codeforces Global Round 28
le0n,3144,3172,28,16,2048,Codeforces Global Round 28
GroupMatrix,2845,2948,103,17,2048,Codeforces Global Round 28
grass8sheep,2846,2945,99,18,2048,Codeforces Global Round 28
HIR180,2753,2874,121,19,2048,Codeforces Global Round 28
Radewoosh,3483,3410,-73,20,2048,Codeforces Global Round 28
Kevin114514,3442,3377,-65,21,2048,Codeforces Global Round 28
ORzyzRO,2740,2854,114,22,2048,Codeforces Global Round 28
Fido_Puppy,2794,2890,96,23,2048,Codeforces Global Round 28
noimi,3056,3080,24,24,2048,Codeforces Global Round 28
maspy,3292,3254,-38,25,2048,Codeforces Global Round 28
chinerist,2659,2783,124,26,2048,Codeforces Global Round 28
Thienu,2677,2794,117,27,2048,Codeforces Global Round 28
Flamire,2851,2919,68,28,2048,Codeforces Global Round 28
Karuna,2830,2901,71,29,2048,Codeforces Global Round 28
fengqiyuka,2620,2745,125,30,2048,Codeforces Global Round 28
cxm1024,2946,2982,36,31,2048,Codeforces Global Round 28
potato167,3112,3103,-9,32,2048,Codeforces Global Round 28
tute7627,2762,2842,80,33,2048,Codeforces Global Round 28
ainta,2815,2879,64,34,2048,Codeforces Global Round 28
_l_l_,2757,2834,77,35,2048,Codeforces Global Round 28
Licha06,2885,2926,41,36,2048,Codeforces Global Round 28
rin204,2935,2961,26,37,2048,Codeforces Global Round 28
leukocyte,2815,2871,56,38,2048,Codeforces Global Round 28
ugly2333,3196,3153,-43,39,2048,Codeforces Global Round 28
cn449,2829,2878,49,40,2048,Codeforces Global Round 28
antontrygubO_o,2952,2967,15,41,2048,Codeforces Global Round 28
physics0523,2623,2722,99,42,2048,Codeforces Global Round 28
RDDCCD,2662,2749,87,43,2048,Codeforces Global Round 28
leaf1415,2501,2629,128,44,2048,Codeforces Global Round 28
femboy-wannabe,3026,3016,-10,45,2048,Codeforces Global Round 28
jason_sun,2813,2856,43,46,2048,Codeforces Global Round 28
risujiroh,2701,2772,71,47,2048,Codeforces Global Round 28
jeroenodb,2868,2894,26,48,2048,Codeforces Global Round 28
rqoi032,2266,2450,184,49,2048,Codeforces Global Round 28
min_inf,2008,2265,257,50,2048,Codeforces Global Round 28
crazy_sea,2804,2842,38,51,2048,Codeforces Global Round 28
SATSKY_2025target_LGM,2332,2493,161,52,2048,Codeforces Global Round 28
fast_photon,2542,2646,104,53,2048,Codeforces Global Round 28
Galetx,2417,2552,135,54,2048,Codeforces Global Round 28
kotatsugame,3081,3044,-37,55,2048,Codeforces Global Round 28
BurnedChicken,3073,3036,-37,56,2048,Codeforces Global Round 28
sevlll777,2672,2736,64,57,2048,Codeforces Global Round 28
zdc123456,2509,2615,106,58,2048,Codeforces Global Round 28
w2y51c318,2468,2583,115,59,2048,Codeforces Global Round 28
neal,2901,2902,1,60,2048,Codeforces Global Round 28
yyyyxh,2614,2688,74,61,2048,Codeforces Global Round 28
Forested,2784,2813,29,62,2048,Codeforces Global Round 28
Liuxizai,2369,2505,136,63,2048,Codeforces Global Round 28
zhaohaikun,2679,2733,54,64,2048,Codeforces Global Round 28
oleh1421,2756,2789,33,65,2048,Codeforces Global Round 28
TKT_YI,2839,2849,10,66,2048,Codeforces Global Round 28
dl720125,2942,2926,-16,67,2048,Codeforces Global Round 28
LMydd0225,2831,2841,10,68,2048,Codeforces Global Round 28
Mapakaka,2801,2818,17,69,2048,Codeforces Global Round 28
nullptr_qwq,2587,2658,71,70,2048,Codeforces Global Round 28
Swistakk,2928,2911,-17,71,2048,Codeforces Global Round 28
Petr,3096,3036,-60,72,2048,Codeforces Global Round 28
QwertyPi,2944,2921,-23,73,2048,Codeforces Global Round 28
Theresa_official,1329,1843,514,74,2048,Codeforces Global Round 28
OccDreamer,2234,2394,160,75,2048,Codeforces Global Round 28
hbxql.,1981,2269,288,76,2048,Codeforces Global Round 28
fallleaves01,2545,2620,75,77,2048,Codeforces Global Round 28
RP-1,2455,2552,97,78,2048,Codeforces Global Round 28
Golovanov399,2967,2933,-34,79,2048,Codeforces Global Round 28
HHY_zZhu,2608,2664,56,80,2048,Codeforces Global Round 28
yuanruiqi,2568,2633,65,81,2048,Codeforces Global Round 28
lmcutezzz,2484,2570,86,82,2048,Codeforces Global Round 28
hyman00,3057,2997,-60,83,2048,Codeforces Global Round 28
Marcin_smu,2845,2836,-9,84,2048,Codeforces Global Round 28
Tlatoani,2726,2747,21,85,2048,Codeforces Global Round 28
lexiyvv,2703,2729,26,86,2048,Codeforces Global Round 28
shiomusubi496,2844,2833,-11,87,2048,Codeforces Global Round 28
kmjp,2622,2667,45,88,2048,Codeforces Global Round 28
a_little_cute,2135,2309,174,89,2048,Codeforces Global Round 28
Rosabel,2152,2320,168,90,2048,Codeforces Global Round 28
raincity,2194,2409,215,91,2048,Codeforces Global Round 28
Graygoo_401,2390,2492,102,92,2048,Codeforces Global Round 28
Miniest,1118,1676,558,93,2048,Codeforces Global Round 28
dog_of_Nesraychan,2911,2878,-33,94,2048,Codeforces Global Round 28
andrei_boaca,2673,2699,26,95,2048,Codeforces Global Round 28
Halzion,2581,2630,49,96,2048,Codeforces Global Round 28
Otomachi_Una,2771,2771,0,97,2048,Codeforces Global Round 28
Agreb,2313,2430,117,98,2048,Codeforces Global Round 28
OIer_kzc,2757,2759,2,99,2048,Codeforces Global Round 28
chaeyihwan,2528,2587,59,100,2048,Codeforces Global Round 28
PinkieRabbit,2824,2808,-16,101,2048,Codeforces Global Round 28
superguymj,2504,2568,64,102,2048,Codeforces Global Round 28
anmichi,2583,2626,43,103,2048,Codeforces Global Round 28
Xellos,2577,2621,44,104,2048,Codeforces Global Round 28
EasonTAO,2522,2579,57,105,2048,Codeforces Global Round 28
recollect_ii,0,872,872,106,2048,Codeforces Global Round 28
Mangooste,2729,2733,4,107,2048,Codeforces Global Round 28
Rubikun,3005,2940,-65,108,2048,Codeforces Global Round 28
Egor,2990,2927,-63,109,2048,Codeforces Global Round 28
jinqihao2026,2567,2610,43,109,2048,Codeforces Global Round 28
SomethingNew,2587,2624,37,111,2048,Codeforces Global Round 28
ComPhyPark,2448,2520,72,112,2048,Codeforces Global Round 28
AYTDD,2450,2521,71,113,2048,Codeforces Global Round 28
k1r1t0,2466,2532,66,114,2048,Codeforces Global Round 28
qmr_wa,2121,2280,159,115,2048,Codeforces Global Round 28
36champ,2414,2492,78,116,2048,Codeforces Global Round 28
BalintR,2802,2781,-21,117,2048,Codeforces Global Round 28
LKY928261,2540,2584,44,118,2048,Codeforces Global Round 28
Alex239,2048,2225,177,119,2048,Codeforces Global Round 28
olmrgcsi,2147,2295,148,120,2048,Codeforces Global Round 28
snuke,2802,2778,-24,121,2048,Codeforces Global Round 28
peltorator,2873,2831,-42,122,2048,Codeforces Global Round 28
AmShZ,2453,2516,63,123,2048,Codeforces Global Round 28
Dominater069,2738,2728,-10,124,2048,Codeforces Global Round 28
tkacper,2853,2814,-39,125,2048,Codeforces Global Round 28
Noam527,2763,2746,-17,126,2048,Codeforces Global Round 28
Pyqe,2989,2916,-73,127,2048,Codeforces Global Round 28
Numbering,2648,2658,10,128,2048,Codeforces Global Round 28
bthero,2385,2462,77,129,2048,Codeforces Global Round 28
ivan_m_chas,2197,2324,127,130,2048,Codeforces Global Round 28
lct,2246,2359,113,131,2048,Codeforces Global Round 28
afuafu,2565,2594,29,132,2048,Codeforces Global Round 28
