id,name,type,phase,frozen,durationSeconds,startTimeSeconds,relativeTimeSeconds
2053,Good Bye 2024: 2025 is NEAR,CF,FINISHED,False,10800,1735396500,9548607
2043,Educational Codeforces Round 173 (Rated for Div. 2),ICPC,FINISHED,False,7200,1735050900,9894207
2051,Codeforces Round 995 (Div. 3),ICPC,FINISHED,False,8100,1734878100,10067007
2049,Codeforces Round 994 (Div. 2),CF,FINISHED,False,7200,1734705300,10239807
2048,Codeforces Global Round 28,CF,FINISHED,False,10800,1734618900,10326207
2044,Codeforces Round 993 (Div. 4),ICPC,FINISHED,False,8100,1734273300,10671807
2040,Codeforces Round 992 (Div. 2),CF,FINISHED,False,7200,1733668500,11276607
2050,Codeforces Round 991 (Div. 3),ICPC,FINISHED,False,8100,1733409300,11535807
2046,Codeforces Round 990 (Div. 1),CF,FINISHED,False,7200,1733207100,11738007
2047,Codeforces Round 990 (Div. 2),CF,FINISHED,False,7200,1733207100,11738007
2042,Educational Codeforces Round 172 (Rated for Div. 2),ICPC,FINISHED,False,7200,1733150100,11795007
2034,"Rayan Programming Contest 2024 - Selection (Codeforces Round 989, Div. 1 + Div. 2)",CF,FINISHED,False,10800,1732977300,11967807
2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)",CF,FINISHED,False,10800,1732372500,12572607
2037,Codeforces Round 988 (Div. 3),ICPC,FINISHED,False,8100,1731854100,13091007
2031,Codeforces Round 987 (Div. 2),CF,FINISHED,False,7200,1731674100,13271007
2028,Codeforces Round 986 (Div. 2),CF,FINISHED,False,7200,1731252900,13692207
2029,Refact.ai Match 1 (Codeforces Round 985),CF,FINISHED,False,10800,1731162900,13782207
2036,Codeforces Round 984 (Div. 3),ICPC,FINISHED,False,8100,1730558100,14387007
2032,Codeforces Round 983 (Div. 2),CF,FINISHED,False,7200,1730471700,14473407
2026,Educational Codeforces Round 171 (Rated for Div. 2),ICPC,FINISHED,False,7200,1730126100,14819007
2035,Codeforces Global Round 27,CF,FINISHED,False,10800,1730039700,14905407
2027,Codeforces Round 982 (Div. 2),CF,FINISHED,False,7200,1729953300,14991807
2033,Codeforces Round 981 (Div. 3),ICPC,FINISHED,False,8100,1729780500,15164607
2023,Codeforces Round 980 (Div. 1),CF,FINISHED,False,7200,1729415100,15530007
2024,Codeforces Round 980 (Div. 2),CF,FINISHED,False,7200,1729415100,15530007
2030,Codeforces Round 979 (Div. 2),CF,FINISHED,False,8100,1729346700,15598407
2025,Educational Codeforces Round 170 (Rated for Div. 2),ICPC,FINISHED,False,7200,1728916500,16028607
2022,Codeforces Round 978 (Div. 2),CF,FINISHED,False,7200,1728848100,16097007
2021,"Codeforces Round 977 (Div. 2, based on COMPFEST 16 - Final Round)",CF,FINISHED,False,7200,1728194700,16750407
2020,Codeforces Round 976 (Div. 2) and Divide By Zero 9.0,CF,FINISHED,False,7200,1727624100,17321007
2018,Codeforces Round 975 (Div. 1),CF,FINISHED,False,9000,1727444100,17501007
2019,Codeforces Round 975 (Div. 2),CF,FINISHED,False,9000,1727444100,17501007
2014,Codeforces Round 974 (Div. 3),ICPC,FINISHED,False,8100,1726929900,18015207
2013,Codeforces Round 973 (Div. 2),CF,FINISHED,False,7200,1726842900,18102207
2005,Codeforces Round 972 (Div. 2),CF,FINISHED,False,7200,1726324500,18620607
2009,Codeforces Round 971 (Div. 4),ICPC,FINISHED,False,9000,1725374100,19571007
2008,Codeforces Round 970 (Div. 3),ICPC,FINISHED,False,8100,1725201300,19743807
2006,Codeforces Round 969 (Div. 1),CF,FINISHED,False,9000,1725028500,19916607
2007,Codeforces Round 969 (Div. 2),CF,FINISHED,False,9000,1725028500,19916607
2010,Testing Round 19 (Div. 3),ICPC,FINISHED,False,2700,1724877300,20067807
2003,Codeforces Round 968 (Div. 2),CF,FINISHED,False,7200,1724596500,20348607
2001,Codeforces Round 967 (Div. 2),CF,FINISHED,False,7200,1724164500,20780607
2004,Educational Codeforces Round 169 (Rated for Div. 2),ICPC,FINISHED,False,7200,1723732500,21212607
2000,Codeforces Round 966 (Div. 3),ICPC,FINISHED,False,8100,1723560000,21385107
2002,EPIC Institute of Technology Round August 2024 (Div. 1 + Div. 2),CF,FINISHED,False,10800,1723386900,21558207
1998,Codeforces Round 965 (Div. 2),CF,FINISHED,False,7200,1723300500,21644607
1999,Codeforces Round 964 (Div. 4),ICPC,FINISHED,False,8700,1722954900,21990207
1993,Codeforces Round 963 (Div. 2),CF,FINISHED,False,7200,1722782100,22163007
1997,Educational Codeforces Round 168 (Rated for Div. 2),ICPC,FINISHED,False,7200,1722350100,22595007
1991,Pinely Round 4 (Div. 1 + Div. 2),CF,FINISHED,False,10800,1722177300,22767807
1996,Codeforces Round 962 (Div. 3),ICPC,FINISHED,False,9000,1722004500,22940607
1995,Codeforces Round 961 (Div. 2),CF,FINISHED,False,7200,1721745300,23199807
1990,Codeforces Round 960 (Div. 2),CF,FINISHED,False,7200,1721486100,23459007
1994,Codeforces Round 959 sponsored by NEAR (Div. 1 + Div. 2),CF,FINISHED,False,7200,1721313300,23631807
1988,Codeforces Round 958 (Div. 2),CF,FINISHED,False,7200,1721054100,23891007
1992,Codeforces Round 957 (Div. 3),ICPC,FINISHED,False,8100,1720708500,24236607
1983,Codeforces Round 956 (Div. 2) and ByteRace 2024,CF,FINISHED,False,8100,1720362900,24582207
