park_id,buffer_km,in_out,mean_tc,median_tc,sd_tc,n_pixels,Percent_Tree_Cover
0,5,outer,115.98609779482263,7.0,123.54679457236618,2086,115.98609779482263
0,10,outer,116.62048925530478,11.0,122.59318431667121,7399,116.62048925530478
0,20,outer,117.04992625368732,13.0,121.8560766111982,27120,117.04992625368732
0,25,outer,120.36196762381962,19.0,121.42741772338037,41512,120.36196762381962
1,5,outer,2.8761398176291793,2.0,2.1311146230745153,1316,2.8761398176291793
1,10,outer,2.589962997224792,2.0,2.150769734749583,4324,2.589962997224792
1,20,outer,3.489344960986165,2.0,2.9048131975316327,15251,3.489344960986165
1,25,outer,19.433678067201647,3.0,60.63412251934956,23303,19.433678067201647
2,5,outer,37.37702960840497,30.0,22.481126915582742,4188,37.37702960840497
2,10,outer,28.55295772171926,21.0,20.869097622096056,11377,28.55295772171926
2,20,outer,24.697950622183168,18.0,18.886672756996397,35279,24.697950622183168
2,25,outer,24.967207767288357,18.0,18.99809573031871,52116,24.967207767288357
3,5,outer,43.79903435174925,50.0,23.49225239872672,12634,43.79903435174925
3,5,inner,32.665475916109706,27.0,21.973563797078537,8678,32.665475916109706
3,10,outer,45.99150960014092,52.0,23.683516723156444,28385,45.99150960014092
3,20,outer,47.18082314259345,53.0,21.856210256578116,69344,47.18082314259345
3,25,outer,45.362918819539104,50.0,21.578889691876192,94641,45.362918819539104
4,5,outer,34.300446428571426,8.0,76.1293448195756,2240,34.300446428571426
4,10,outer,64.34852086634972,6.0,105.18811366748946,7572,64.34852086634972
4,20,outer,90.57108463233494,8.0,117.53047753957381,24506,90.57108463233494
4,25,outer,95.49079868971211,8.0,119.07421588185427,37549,95.49079868971211
5,5,outer,55.380571898985494,58.0,15.1062996741453,41301,55.380571898985494
5,5,inner,55.03569958462747,58.0,15.531754988967558,26723,55.03569958462747
5,10,outer,55.34616202158121,58.0,15.231183165658422,79977,55.34616202158121
5,10,inner,55.89762616147355,59.0,15.335379938977288,30457,55.89762616147355
5,20,outer,53.97685601903799,57.0,16.46147412716059,162202,53.97685601903799
5,25,outer,53.48203695393064,57.0,17.066705297637508,207231,53.48203695393064
6,5,outer,60.650179530715064,63.0,16.48219648997131,35927,60.650179530715064
6,5,inner,61.1142291779097,63.0,15.76217418382579,27795,61.1142291779097
6,10,outer,57.20079460801703,61.0,18.955283746639104,70475,57.20079460801703
6,10,inner,62.793764657194096,64.0,15.56072515963806,36245,62.793764657194096
6,20,outer,57.05558321005658,61.0,19.491486263336654,142633,57.05558321005658
6,25,outer,57.84459044780045,61.0,19.395421135755367,182492,57.84459044780045
7,5,outer,78.85630306988897,78.0,34.3189822865296,3062,78.85630306988897
7,10,outer,73.84065460809647,78.0,30.143323603798045,9288,73.84065460809647
7,20,outer,70.52967046975589,78.0,29.852492265058167,31378,70.52967046975589
7,25,outer,70.8917751667196,78.0,27.97546701350557,47235,70.8917751667196
8,5,outer,65.37104109815596,69.0,15.401058477115917,12093,65.37104109815596
8,10,outer,64.89860563215248,68.0,15.32128900130046,25603,64.89860563215248
8,20,outer,63.376796331999415,68.0,17.43873152183547,61723,63.376796331999415
8,25,outer,62.781465491749955,69.0,18.439208340909463,84545,62.781465491749955
9,5,outer,13.919713831478537,11.0,7.851609208799819,5032,13.919713831478537
9,10,outer,17.09688475893061,12.0,12.615057379092061,13129,17.09688475893061
9,20,outer,18.971405836905465,13.0,15.528893792508617,38959,18.971405836905465
9,25,outer,20.574879568033033,13.0,17.28743659332978,56671,20.574879568033033
10,5,outer,62.924565469293164,63.0,14.353272857746136,8630,62.924565469293164
10,10,outer,62.33823301872196,63.0,13.7576855388544,19389,62.33823301872196
10,20,outer,62.88708141564831,63.0,15.999272958144486,50408,62.88708141564831
10,25,outer,62.77290921177319,63.0,15.673119941095054,70703,62.77290921177319
11,5,outer,48.50498687664042,41.0,34.50217538597613,1905,48.50498687664042
11,10,outer,60.033328585671555,59.0,43.811976389912836,7021,60.033328585671555
11,20,outer,64.01229112513926,73.0,33.682531375371155,26930,64.01229112513926
11,25,outer,66.08597740844665,76.0,31.203325513588382,41697,66.08597740844665
12,5,outer,41.07983948022167,41.0,18.949882320249433,26165,41.07983948022167
12,5,inner,40.564613499160274,40.0,19.709517031781115,22031,40.564613499160274
12,10,outer,41.24790771318706,44.0,19.820392311999562,53052,41.24790771318706
12,20,outer,42.143833350743414,48.0,21.821795665271015,114876,42.143833350743414
12,25,outer,42.35089986278924,50.0,23.404139931330466,150134,42.35089986278924
13,5,outer,67.6759174730692,67.0,9.875376022310002,5477,67.6759174730692
13,10,outer,62.83874018038988,65.0,14.68721872493266,13748,62.83874018038988
13,20,outer,54.94218463777572,62.0,21.981003335290293,39851,54.94218463777572
13,25,outer,51.567260378404605,60.0,24.58311217567152,57716,51.567260378404605
14,5,outer,73.2489982190561,78.0,12.093994037687143,8984,73.2489982190561
14,5,inner,72.82736842105263,76.0,10.737974346905112,4750,72.82736842105263
14,10,outer,72.11532235025236,78.0,14.10486372531909,21002,72.11532235025236
14,20,outer,70.51173122819901,78.0,15.963147160309806,54470,70.51173122819901
14,25,outer,70.01745960738909,77.0,16.323417959615025,76004,70.01745960738909
15,5,outer,139.36479802143447,82.0,83.84003178075957,4852,139.36479802143447
15,10,outer,155.44493734921005,83.0,87.16891322534508,12849,155.44493734921005
15,20,outer,169.836800955869,253.0,87.22841435313966,38499,169.836800955869
15,25,outer,172.33111851363628,253.0,87.15658202010385,56137,172.33111851363628
16,5,outer,78.76400821424082,78.0,38.118874307147216,23861,78.76400821424082
16,5,inner,80.43922310322252,79.0,23.182539293476925,13747,80.43922310322252
16,10,outer,77.76677226176011,78.0,40.40402190383944,46088,77.76677226176011
16,20,outer,77.40340903383922,79.0,33.39745828201018,99559,77.40340903383922
16,25,outer,77.24148152675488,79.0,31.149449209838767,130892,77.24148152675488
17,5,outer,30.906976744186046,27.0,14.159421278281878,4214,30.906976744186046
17,10,outer,25.594160076475188,21.0,14.98566485011633,11507,25.594160076475188
17,20,outer,29.325653100123333,23.0,24.193671517874698,35676,29.325653100123333
17,25,outer,31.968825441481172,26.0,23.04542515093782,52607,31.968825441481172
18,5,outer,60.78248879696656,64.0,35.12463528060636,2901,60.78248879696656
18,10,outer,57.832573652028906,61.0,31.946787078834106,8995,57.832573652028906
18,20,outer,64.29704641350212,74.0,33.03059248578231,30810,64.29704641350212
18,25,outer,66.44380948288827,77.0,30.769507298752185,46547,66.44380948288827
19,5,outer,75.93777919591577,80.0,13.194568545474066,3134,75.93777919591577
19,10,outer,76.13454430246067,79.0,12.067673571930063,9469,76.13454430246067
19,20,outer,76.85747575261368,79.0,10.222004979133752,31756,76.85747575261368
19,25,outer,76.29721634585175,79.0,11.398533924358361,47743,76.29721634585175
20,5,outer,1.5086705202312138,1.0,1.2335319706667334,173,1.5086705202312138
20,10,outer,3.0752823086574654,1.0,14.139450805668618,797,3.0752823086574654
20,20,outer,5.7742759795570695,1.0,25.267706637029562,3522,5.7742759795570695
20,25,outer,4.051810157349367,1.0,17.16546515308409,7817,4.051810157349367
21,5,outer,79.1095211887727,82.0,8.040847102986664,5451,79.1095211887727
21,10,outer,77.54172590275803,81.0,9.322746308210853,14068,77.54172590275803
21,20,outer,74.21923368462234,80.0,13.152823138207554,40897,74.21923368462234
21,25,outer,73.37402966395508,79.0,13.83842366713409,59129,73.37402966395508
22,5,outer,82.90285938112025,79.0,31.885468199568997,2553,82.90285938112025
22,10,outer,81.9812567583804,79.0,27.97040856661182,8323,81.9812567583804
22,20,outer,81.04245730550285,79.0,28.167175946352327,29512,81.04245730550285
22,25,outer,86.36876669634907,79.0,43.63588421649305,44920,86.36876669634907
23,5,outer,61.66530278232406,64.0,10.426061685926946,3666,61.66530278232406
23,10,outer,57.671900430828146,62.0,14.945795160833944,10445,57.671900430828146
23,20,outer,49.439770497651466,58.0,20.858142690709126,33638,49.439770497651466
23,25,outer,47.27498801534036,56.0,22.271994328835596,50064,47.27498801534036
24,5,outer,61.579549114331726,61.0,11.937796393282094,6210,61.579549114331726
24,10,outer,62.785551578262286,63.0,14.554802107771156,15365,62.785551578262286
24,20,outer,64.39790842414567,68.0,17.013921197554378,43221,64.39790842414567
24,25,outer,64.86501759937998,68.0,16.66829444501349,61934,64.86501759937998
25,5,outer,57.18159559273617,61.0,17.856980046035506,4901,57.18159559273617
25,10,outer,55.478767231817464,60.0,17.51101654199974,12622,55.478767231817464
25,20,outer,53.19046987344459,57.0,18.085687180271627,37691,53.19046987344459
25,25,outer,53.03630746865346,57.0,18.722116201592197,55030,53.03630746865346
26,5,outer,61.76789095039758,61.0,13.631901760528736,5282,61.76789095039758
26,10,outer,65.90424438243501,67.0,13.911420502772401,13618,65.90424438243501
26,20,outer,66.05681533136006,70.0,16.542101001245438,39866,66.05681533136006
26,25,outer,65.69342977280199,71.0,17.03446183948391,57791,65.69342977280199
27,5,outer,45.55280898876404,50.0,18.58199819458579,2670,45.55280898876404
27,10,outer,50.21425211665099,55.0,19.08535203637181,8504,50.21425211665099
